# name: A8-A4-20y35
# comment: ATLAS 8TeV angular coefficient A4, 2<|y|<3.5
# reference: 1606.00689
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2,y_avg,qT_avg
A8-A4-20y35.0,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,0.0,2.5,1.0,False,20.0,20.0,2.0,4.5,0.0947934,0.0143961,0.00714469,0.00019908,2.75,1.25
A8-A4-20y35.1,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,2.5,5.0,1.0,False,20.0,20.0,2.0,4.5,0.138652,0.0099795,0.00365901,0.000214917,2.75,3.75
A8-A4-20y35.2,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,5.0,8.0,1.0,False,20.0,20.0,2.0,4.5,0.141907,0.0090644,0.00357273,0.000191891,2.75,6.5
A8-A4-20y35.3,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,8.0,11.4,1.0,False,20.0,20.0,2.0,4.5,0.14028,0.00840539,0.00352422,0.000152622,2.75,9.7
A8-A4-20y35.4,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,11.4,14.9,1.0,False,20.0,20.0,2.0,4.5,0.126649,0.00899234,0.00356412,0.000122315,2.75,13.15
A8-A4-20y35.5,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,14.9,18.5,1.0,False,20.0,20.0,2.0,4.5,0.122978,0.0103088,0.00403104,0.000122396,2.75,16.7
A8-A4-20y35.6,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,18.5,22.0,1.0,False,20.0,20.0,2.0,4.5,0.117517,0.0119857,0.00462247,0.000166047,2.75,20.25
A8-A4-20y35.7,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,22.0,25.5,1.0,False,20.0,20.0,2.0,4.5,0.11569,0.0140556,0.0047915,0.000255643,2.75,23.75
A8-A4-20y35.8,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,25.5,29.0,1.0,False,20.0,20.0,2.0,4.5,0.114539,0.0157341,0.00522324,0.000382076,2.75,27.25
A8-A4-20y35.9,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,29.0,32.6,1.0,False,20.0,20.0,2.0,4.5,0.128301,0.0174988,0.00592914,0.000525983,2.75,30.8
A8-A4-20y35.10,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,32.6,36.4,1.0,False,20.0,20.0,2.0,4.5,0.130395,0.019138,0.00633625,0.000660868,2.75,34.5
A8-A4-20y35.11,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,36.4,40.4,1.0,False,20.0,20.0,2.0,4.5,0.142718,0.0203216,0.0070574,0.00075812,2.75,38.4
A8-A4-20y35.12,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,40.4,44.9,1.0,False,20.0,20.0,2.0,4.5,0.132124,0.0202328,0.00684018,0.000793932,2.75,42.65
A8-A4-20y35.13,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,44.9,50.2,1.0,False,20.0,20.0,2.0,4.5,0.123669,0.0181007,0.00681082,0.000758107,2.75,47.55
A8-A4-20y35.14,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,50.2,56.4,1.0,False,20.0,20.0,2.0,4.5,0.10887,0.0186421,0.00758723,0.000664773,2.75,53.3
A8-A4-20y35.15,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,56.4,63.9,1.0,False,20.0,20.0,2.0,4.5,0.0908992,0.0189995,0.00842272,0.000564986,2.75,60.15
A8-A4-20y35.16,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,63.9,73.4,1.0,False,20.0,20.0,2.0,4.5,0.0925139,0.0190126,0.00870465,0.000561231,2.75,68.65
A8-A4-20y35.17,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,73.4,85.4,1.0,False,20.0,20.0,2.0,4.5,0.0888254,0.0191335,0.00885456,0.000823825,2.75,79.4
A8-A4-20y35.18,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,2.0,3.5,85.4,105.0,1.0,False,20.0,20.0,2.0,4.5,0.121731,0.0261093,0.015068,0.00160921,2.75,95.2
