# name: CMS8-A0-10y21
# comment: CMS 8TeV angular coefficient A0, 1<|y|<2.1
# reference: 1504.03512
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,y_avg,qT_avg
CMS8-A0-10y21.0,1,1,1,20,1,1,1,3,64000000.0,81.0,101.0,91.1876,1.0,2.1,0.0,10.0,1.0,False,20.0,20.0,2.0,4.5,0.032,0.005,0.01,1.55,5.0
CMS8-A0-10y21.1,1,1,1,20,1,1,1,3,64000000.0,81.0,101.0,91.1876,1.0,2.1,10.0,20.0,1.0,False,20.0,20.0,2.0,4.5,0.077,0.006,0.009,1.55,15.0
CMS8-A0-10y21.2,1,1,1,20,1,1,1,3,64000000.0,81.0,101.0,91.1876,1.0,2.1,20.0,35.0,1.0,False,20.0,20.0,2.0,4.5,0.179,0.008,0.013,1.55,27.5
CMS8-A0-10y21.3,1,1,1,20,1,1,1,3,64000000.0,81.0,101.0,91.1876,1.0,2.1,35.0,55.0,1.0,False,20.0,20.0,2.0,4.5,0.385,0.011,0.017,1.55,45.0
CMS8-A0-10y21.4,1,1,1,20,1,1,1,3,64000000.0,81.0,101.0,91.1876,1.0,2.1,55.0,80.0,1.0,False,20.0,20.0,2.0,4.5,0.554,0.013,0.015,1.55,67.5
CMS8-A0-10y21.5,1,1,1,20,1,1,1,3,64000000.0,81.0,101.0,91.1876,1.0,2.1,80.0,120.0,1.0,False,20.0,20.0,2.0,4.5,0.737,0.015,0.014,1.55,100.0
CMS8-A0-10y21.6,1,1,1,20,1,1,1,3,64000000.0,81.0,101.0,91.1876,1.0,2.1,120.0,200.0,1.0,False,20.0,20.0,2.0,4.5,0.86,0.02,0.012,1.55,160.0
CMS8-A0-10y21.7,1,1,1,20,1,1,1,3,64000000.0,81.0,101.0,91.1876,1.0,2.1,200.0,9999.0,1.0,False,20.0,20.0,2.0,4.5,0.876,0.045,0.02,1.55,5099.5
