# name: A8-A4-00y10
# comment: ATLAS 8TeV angular coefficient A4, 0<|y|<1
# reference: 1606.00689
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2,y_avg,qT_avg
A8-A4-00y10.0,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,0.0,2.5,1.0,False,20.0,20.0,2.0,4.5,0.0193576,0.00402643,0.00223014,0.000147701,0.5,1.25
A8-A4-00y10.1,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,2.5,5.0,1.0,False,20.0,20.0,2.0,4.5,0.0226108,0.00191012,0.00103989,9.85294e-05,0.5,3.75
A8-A4-00y10.2,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,5.0,8.0,1.0,False,20.0,20.0,2.0,4.5,0.0230585,0.00195426,0.00102783,5.58618e-05,0.5,6.5
A8-A4-00y10.3,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,8.0,11.4,1.0,False,20.0,20.0,2.0,4.5,0.0219814,0.00192467,0.00105502,1.96983e-05,0.5,9.7
A8-A4-00y10.4,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,11.4,14.9,1.0,False,20.0,20.0,2.0,4.5,0.0202038,0.00189273,0.00101237,9.96101e-06,0.5,13.15
A8-A4-00y10.5,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,14.9,18.5,1.0,False,20.0,20.0,2.0,4.5,0.0184398,0.0021327,0.00107943,3.31162e-05,0.5,16.7
A8-A4-00y10.6,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,18.5,22.0,1.0,False,20.0,20.0,2.0,4.5,0.0171416,0.00248723,0.0012644,4.97672e-05,0.5,20.25
A8-A4-00y10.7,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,22.0,25.5,1.0,False,20.0,20.0,2.0,4.5,0.0162881,0.00275113,0.00137399,5.99141e-05,0.5,23.75
A8-A4-00y10.8,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,25.5,29.0,1.0,False,20.0,20.0,2.0,4.5,0.0162451,0.00290163,0.00144219,6.35568e-05,0.5,27.25
A8-A4-00y10.9,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,29.0,32.6,1.0,False,20.0,20.0,2.0,4.5,0.0164509,0.00304069,0.00148508,6.06954e-05,0.5,30.8
A8-A4-00y10.10,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,32.6,36.4,1.0,False,20.0,20.0,2.0,4.5,0.0175107,0.00327853,0.00159198,5.13298e-05,0.5,34.5
A8-A4-00y10.11,1,1,1,24,1,1,1,3,64000000.0,80.0,100.0,91.1876,0.0,1.0,36.4,40.4,1.0,False,20.0,20.0,2.0,4.5,0.0185475,0.00362296,0.00176533,3.54601e-05,0.5,38.4
