# name: A8-A1-10y20
# comment: ATLAS 8TeV angular coefficient A1, 1<|y|<2
# reference: 1606.00689
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2,y_avg,qT_avg
A8-A1-10y20.0,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,0.0,2.5,1.0,False,20.0,20.0,2.0,4.5,0.0182875,0.00752824,0.00419149,0.00202221,1.5,1.25
A8-A1-10y20.1,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,2.5,5.0,1.0,False,20.0,20.0,2.0,4.5,0.0156348,0.00287213,0.00207553,0.0010674,1.5,3.75
A8-A1-10y20.2,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,5.0,8.0,1.0,False,20.0,20.0,2.0,4.5,0.0171245,0.00244413,0.00180436,0.000711577,1.5,6.5
A8-A1-10y20.3,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,8.0,11.4,1.0,False,20.0,20.0,2.0,4.5,0.0212691,0.00241771,0.00179277,0.000638546,1.5,9.7
A8-A1-10y20.4,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,11.4,14.9,1.0,False,20.0,20.0,2.0,4.5,0.0265998,0.00229122,0.00172053,0.000665276,1.5,13.15
A8-A1-10y20.5,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,14.9,18.5,1.0,False,20.0,20.0,2.0,4.5,0.0323352,0.00256129,0.00174048,0.000704421,1.5,16.7
A8-A1-10y20.6,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,18.5,22.0,1.0,False,20.0,20.0,2.0,4.5,0.0377069,0.00304671,0.00192355,0.000732076,1.5,20.25
A8-A1-10y20.7,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,22.0,25.5,1.0,False,20.0,20.0,2.0,4.5,0.04241,0.00340981,0.00200202,0.000760806,1.5,23.75
A8-A1-10y20.8,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,25.5,29.0,1.0,False,20.0,20.0,2.0,4.5,0.0462956,0.00369746,0.00210027,0.00081792,1.5,27.25
A8-A1-10y20.9,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,29.0,32.6,1.0,False,20.0,20.0,2.0,4.5,0.04896,0.00406628,0.00225874,0.00092901,1.5,30.8
A8-A1-10y20.10,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,32.6,36.4,1.0,False,20.0,20.0,2.0,4.5,0.0515333,0.00468681,0.00251499,0.00110674,1.5,34.5
A8-A1-10y20.11,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,36.4,40.4,1.0,False,20.0,20.0,2.0,4.5,0.0527573,0.00546764,0.00293344,0.00134491,1.5,38.4
A8-A1-10y20.12,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,40.4,44.9,1.0,False,20.0,20.0,2.0,4.5,0.0536131,0.00618737,0.00326496,0.00161773,1.5,42.65
A8-A1-10y20.13,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,44.9,50.2,1.0,False,20.0,20.0,2.0,4.5,0.054622,0.0066988,0.00360882,0.00188441,1.5,47.55
A8-A1-10y20.14,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,50.2,56.4,1.0,False,20.0,20.0,2.0,4.5,0.056495,0.00714158,0.00380847,0.002099,1.5,53.3
A8-A1-10y20.15,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,56.4,63.9,1.0,False,20.0,20.0,2.0,4.5,0.0581243,0.00771979,0.00407976,0.00222542,1.5,60.15
A8-A1-10y20.16,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,63.9,73.4,1.0,False,20.0,20.0,2.0,4.5,0.0606143,0.00863249,0.00455848,0.00225781,1.5,68.65
A8-A1-10y20.17,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,73.4,85.4,1.0,False,20.0,20.0,2.0,4.5,0.0629968,0.00980326,0.00522381,0.00224616,1.5,79.4
A8-A1-10y20.18,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,85.4,105.0,1.0,False,20.0,20.0,2.0,4.5,0.0663635,0.0107899,0.00576901,0.00232709,1.5,95.2
A8-A1-10y20.19,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,105.0,132.0,1.0,False,20.0,20.0,2.0,4.5,0.0687262,0.011379,0.00568441,0.00276002,1.5,118.5
A8-A1-10y20.20,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,132.0,173.0,1.0,False,20.0,20.0,2.0,4.5,0.0705943,0.0126253,0.00603478,0.0039685,1.5,152.5
A8-A1-10y20.21,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,173.0,253.0,1.0,False,20.0,20.0,2.0,4.5,0.0704417,0.0193878,0.00905281,0.00658683,1.5,213.0
A8-A1-10y20.22,1,1,1,21,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,253.0,600.0,1.0,False,20.0,20.0,2.0,4.5,0.0668988,0.0366632,0.0158258,0.0115119,1.5,426.5
