# name: A8-A0-10y20
# comment: ATLAS 8TeV angular coefficient A0, 1<|y|<2
# reference: 1606.00689
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2,y_avg,qT_avg
A8-A0-10y20.0,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,0.0,2.5,1.0,False,20.0,20.0,2.0,4.5,-0.0161624,0.00764061,0.00773141,0.00245241,1.5,1.25
A8-A0-10y20.1,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,2.5,5.0,1.0,False,20.0,20.0,2.0,4.5,-0.00122668,0.00355604,0.00665201,0.00160459,1.5,3.75
A8-A0-10y20.2,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,5.0,8.0,1.0,False,20.0,20.0,2.0,4.5,0.0167415,0.00371527,0.00655701,0.00129445,1.5,6.5
A8-A0-10y20.3,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,8.0,11.4,1.0,False,20.0,20.0,2.0,4.5,0.0375581,0.00368657,0.00640936,0.00124939,1.5,9.7
A8-A0-10y20.4,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,11.4,14.9,1.0,False,20.0,20.0,2.0,4.5,0.0608697,0.00362184,0.00621419,0.0013107,1.5,13.15
A8-A0-10y20.5,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,14.9,18.5,1.0,False,20.0,20.0,2.0,4.5,0.0866407,0.0040952,0.00614679,0.0013995,1.5,16.7
A8-A0-10y20.6,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,18.5,22.0,1.0,False,20.0,20.0,2.0,4.5,0.115341,0.00482155,0.00615099,0.00148798,1.5,20.25
A8-A0-10y20.7,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,22.0,25.5,1.0,False,20.0,20.0,2.0,4.5,0.146545,0.00537426,0.00611451,0.00157599,1.5,23.75
A8-A0-10y20.8,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,25.5,29.0,1.0,False,20.0,20.0,2.0,4.5,0.180977,0.00569768,0.00607945,0.00167291,1.5,27.25
A8-A0-10y20.9,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,29.0,32.6,1.0,False,20.0,20.0,2.0,4.5,0.21891,0.00594457,0.00603083,0.0017849,1.5,30.8
A8-A0-10y20.10,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,32.6,36.4,1.0,False,20.0,20.0,2.0,4.5,0.259869,0.00631338,0.00604445,0.00190741,1.5,34.5
A8-A0-10y20.11,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,36.4,40.4,1.0,False,20.0,20.0,2.0,4.5,0.30518,0.00687865,0.00611876,0.00202307,1.5,38.4
A8-A0-10y20.12,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,40.4,44.9,1.0,False,20.0,20.0,2.0,4.5,0.354732,0.0073806,0.00614235,0.00210484,1.5,42.65
A8-A0-10y20.13,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,44.9,50.2,1.0,False,20.0,20.0,2.0,4.5,0.407526,0.00759658,0.00611714,0.00212459,1.5,47.55
A8-A0-10y20.14,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,50.2,56.4,1.0,False,20.0,20.0,2.0,4.5,0.463941,0.0074817,0.0059254,0.00206685,1.5,53.3
A8-A0-10y20.15,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,56.4,63.9,1.0,False,20.0,20.0,2.0,4.5,0.524489,0.0072001,0.00557056,0.00194803,1.5,60.15
A8-A0-10y20.16,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,63.9,73.4,1.0,False,20.0,20.0,2.0,4.5,0.588037,0.00717459,0.00524146,0.00184086,1.5,68.65
A8-A0-10y20.17,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,73.4,85.4,1.0,False,20.0,20.0,2.0,4.5,0.653829,0.00774501,0.0051602,0.00190424,1.5,79.4
A8-A0-10y20.18,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,85.4,105.0,1.0,False,20.0,20.0,2.0,4.5,0.720807,0.00865474,0.00539524,0.0024183,1.5,95.2
A8-A0-10y20.19,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,105.0,132.0,1.0,False,20.0,20.0,2.0,4.5,0.788165,0.00973287,0.00546028,0.00382491,1.5,118.5
A8-A0-10y20.20,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,132.0,173.0,1.0,False,20.0,20.0,2.0,4.5,0.854603,0.0123478,0.00613919,0.00677342,1.5,152.5
A8-A0-10y20.21,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,173.0,253.0,1.0,False,20.0,20.0,2.0,4.5,0.917581,0.0207633,0.00936361,0.0121718,1.5,213.0
A8-A0-10y20.22,1,1,1,20,1,1,1,3,64000000.0,80.0,100.0,91.1876,1.0,2.0,253.0,600.0,1.0,False,20.0,20.0,2.0,4.5,0.975334,0.0391546,0.0169496,0.0212429,1.5,426.5
