# name: hermes3D.wgt.pi+
# comment: HERMES 3D DSA-A_LT pi+ from p. The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.wgt.pi+.0,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2095453691366853,0.023,0.072,0.052,0.2,0.28,0.236,0.0,0.23,0.151,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.113578,0.108745,0.010286
hermes3D.wgt.pi+.1,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.230447073221762,0.023,0.072,0.048,0.2,0.28,0.235,0.23,0.36,0.298,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.104523,0.059109,0.007843
hermes3D.wgt.pi+.2,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2421755109484327,0.023,0.072,0.046,0.2,0.28,0.237,0.36,0.54,0.443,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.007951,0.041076,0.003379
hermes3D.wgt.pi+.3,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2621410380777578,0.023,0.072,0.043,0.2,0.28,0.242,0.54,2.0,0.655,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.018571,0.056617,0.001043
hermes3D.wgt.pi+.4,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.1966620241321273,0.023,0.072,0.054,0.28,0.37,0.32,0.0,0.23,0.15,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.140676,0.127739,0.014314
hermes3D.wgt.pi+.5,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2181953866272848,0.023,0.072,0.05,0.28,0.37,0.32,0.23,0.36,0.297,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.276671,0.196009,0.012491
hermes3D.wgt.pi+.6,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2320714265009152,0.023,0.072,0.047,0.28,0.37,0.32,0.36,0.54,0.449,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.0433,0.057824,0.009
hermes3D.wgt.pi+.7,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2489995996796797,0.023,0.072,0.045,0.28,0.37,0.323,0.54,2.0,0.699,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.00151,0.050578,0.00452
hermes3D.wgt.pi+.8,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.1836384583140243,0.023,0.072,0.055,0.37,0.49,0.422,0.0,0.23,0.151,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.110027,0.153555,0.008054
hermes3D.wgt.pi+.9,1,1,1,13001,1,1,1,2001,52.657444,1.0,1.881910688635356,1.2045746137122433,0.023,0.072,0.051,0.37,0.49,0.422,0.23,0.36,0.298,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.135353,0.234174,0.013608
