# name: hermes3D.wgt.k-
# comment: HERMES 3D DSA-A_LT k- from p. The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.wgt.k-.20,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.396782015920881,0.072,0.098,0.084,0.28,0.37,0.323,0.0,0.23,0.138,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.132936,0.48249,0.01052
hermes3D.wgt.k-.21,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.4959946523968592,0.072,0.098,0.084,0.28,0.37,0.322,0.23,0.36,0.292,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,1.885538,0.921974,0.006798
hermes3D.wgt.k-.22,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.5482247898803325,0.072,0.098,0.084,0.28,0.37,0.321,0.36,0.54,0.444,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.578404,0.477749,0.027061
hermes3D.wgt.k-.23,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.574166446091391,0.072,0.098,0.084,0.28,0.37,0.324,0.54,2.0,0.693,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.21671,0.389095,0.005205
hermes3D.wgt.k-.24,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.3579396157414365,0.072,0.098,0.084,0.37,0.49,0.424,0.0,0.23,0.143,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.381642,0.627919,0.021884
hermes3D.wgt.k-.25,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.4349216006458332,0.072,0.098,0.084,0.37,0.49,0.424,0.23,0.36,0.294,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.323414,0.744896,0.064046
hermes3D.wgt.k-.26,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.5066519173319364,0.072,0.098,0.083,0.37,0.49,0.424,0.36,0.54,0.443,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.390035,0.828477,0.005073
hermes3D.wgt.k-.27,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.5658863304850708,0.072,0.098,0.084,0.37,0.49,0.423,0.54,2.0,0.727,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.567427,0.448911,0.02808
hermes3D.wgt.k-.28,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.3740451229854134,0.072,0.098,0.085,0.49,0.7,0.567,0.0,0.23,0.15,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-1.057374,0.886626,0.021198
hermes3D.wgt.k-.29,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.4152738250953418,0.072,0.098,0.085,0.49,0.7,0.57,0.23,0.36,0.295,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.786564,0.798392,0.038165
hermes3D.wgt.k-.30,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.4693535993762699,0.072,0.098,0.084,0.49,0.7,0.577,0.36,0.54,0.44,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,1.253007,0.82902,0.034546
hermes3D.wgt.k-.31,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.195562470074582,1.5543487382180359,0.072,0.098,0.084,0.49,0.7,0.57,0.54,2.0,0.772,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.350485,0.58915,0.003723
hermes3D.wgt.k-.32,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.7372391890583172,0.098,0.138,0.116,0.2,0.28,0.24,0.0,0.23,0.138,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.723322,0.447663,0.008209
hermes3D.wgt.k-.33,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.8066543665017942,0.098,0.138,0.115,0.2,0.28,0.241,0.23,0.36,0.29,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.39577,0.677758,0.019645
hermes3D.wgt.k-.34,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.817690842800282,0.098,0.138,0.115,0.2,0.28,0.238,0.36,0.54,0.444,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.636435,0.440549,0.028087
hermes3D.wgt.k-.35,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.8994736112934025,0.098,0.138,0.115,0.2,0.28,0.243,0.54,2.0,0.649,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-1.000925,0.879694,0.024472
hermes3D.wgt.k-.36,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.6407315441594947,0.098,0.138,0.116,0.28,0.37,0.323,0.0,0.23,0.142,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.026605,0.526772,0.034808
hermes3D.wgt.k-.37,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.7274258305351347,0.098,0.138,0.116,0.28,0.37,0.322,0.23,0.36,0.294,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.08688,0.736906,0.046319
hermes3D.wgt.k-.38,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.7481418706729726,0.098,0.138,0.115,0.28,0.37,0.324,0.36,0.54,0.45,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,1.005645,0.590561,0.034873
hermes3D.wgt.k-.39,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.827840255602223,0.098,0.138,0.116,0.28,0.37,0.324,0.54,2.0,0.694,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.858202,0.517611,0.028465
hermes3D.wgt.k-.40,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.556920036482285,0.098,0.138,0.115,0.37,0.49,0.423,0.0,0.23,0.149,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-1.01444,0.588459,0.011076
hermes3D.wgt.k-.41,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.6410362579784763,0.098,0.138,0.117,0.37,0.49,0.427,0.23,0.36,0.293,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.318419,0.685572,0.043115
hermes3D.wgt.k-.42,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.7149344010777787,0.098,0.138,0.116,0.37,0.49,0.428,0.36,0.54,0.442,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,1.192585,0.877172,0.044357
hermes3D.wgt.k-.43,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.7868967513541458,0.098,0.138,0.114,0.37,0.49,0.424,0.54,2.0,0.741,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-1.233837,0.487051,0.052828
hermes3D.wgt.k-.44,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.559807680452946,0.098,0.138,0.115,0.49,0.7,0.563,0.0,0.23,0.149,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.024319,0.783175,0.00802
hermes3D.wgt.k-.45,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.5713051899615174,0.098,0.138,0.115,0.49,0.7,0.572,0.23,0.36,0.295,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.693391,0.778496,0.003101
hermes3D.wgt.k-.46,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.6483324907311632,0.098,0.138,0.116,0.49,0.7,0.577,0.36,0.54,0.435,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.001702,0.791594,0.052541
hermes3D.wgt.k-.47,1,1,-2,13001,1,1,-2,2001,52.657444,1.0,2.6053873723498393,1.7544229820656134,0.098,0.138,0.115,0.49,0.7,0.574,0.54,2.0,0.764,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.212091,0.682467,0.063564
hermes3D.wgt.k-.48,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2306949589757896,0.138,0.6,0.201,0.2,0.28,0.241,0.0,0.23,0.144,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.199526,0.387139,0.037251
hermes3D.wgt.k-.49,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.3017384734152575,0.138,0.6,0.206,0.2,0.28,0.241,0.23,0.36,0.29,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.747469,0.547698,0.095321
