# name: hermes3D.wgt.k+
# comment: HERMES 3D DSA-A_LT k+ from p. The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.wgt.k+.20,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.4078352176302453,0.072,0.098,0.084,0.28,0.37,0.323,0.0,0.23,0.142,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.339031,0.335245,0.026695
hermes3D.wgt.k+.21,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.487615541731129,0.072,0.098,0.084,0.28,0.37,0.324,0.23,0.36,0.293,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,1.03137,0.568886,0.030324
hermes3D.wgt.k+.22,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.543696861433617,0.072,0.098,0.084,0.28,0.37,0.324,0.36,0.54,0.446,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.060813,0.333091,0.021992
hermes3D.wgt.k+.23,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.5940514420808383,0.072,0.098,0.084,0.28,0.37,0.327,0.54,2.0,0.69,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.357957,0.268507,0.010013
hermes3D.wgt.k+.24,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.3704014010500718,0.072,0.098,0.085,0.37,0.49,0.423,0.0,0.23,0.145,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.108208,0.365756,0.039047
hermes3D.wgt.k+.25,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.439791651594077,0.072,0.098,0.084,0.37,0.49,0.425,0.23,0.36,0.294,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.639982,0.52827,0.025817
hermes3D.wgt.k+.26,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.4936532395439042,0.072,0.098,0.084,0.37,0.49,0.427,0.36,0.54,0.445,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,1.084687,0.713633,0.010508
hermes3D.wgt.k+.27,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.5630099167951559,0.072,0.098,0.084,0.37,0.49,0.43,0.54,2.0,0.735,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.240747,0.26828,0.020682
hermes3D.wgt.k+.28,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.3696714934611145,0.072,0.098,0.085,0.49,0.7,0.577,0.0,0.23,0.15,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.910494,0.441151,0.033418
hermes3D.wgt.k+.29,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.3939153489362257,0.072,0.098,0.084,0.49,0.7,0.575,0.23,0.36,0.297,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.687684,0.460066,0.043658
hermes3D.wgt.k+.30,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.433527118683145,0.072,0.098,0.085,0.49,0.7,0.583,0.36,0.54,0.446,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-1.056825,0.522624,0.030651
hermes3D.wgt.k+.31,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.195562470074582,1.5267612779999367,0.072,0.098,0.084,0.49,0.7,0.587,0.54,2.0,0.768,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.233799,0.324838,0.004456
hermes3D.wgt.k+.32,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.7213366899011942,0.098,0.138,0.116,0.2,0.28,0.241,0.0,0.23,0.139,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.063133,0.34707,0.028683
hermes3D.wgt.k+.33,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.820164827701052,0.098,0.138,0.116,0.2,0.28,0.239,0.23,0.36,0.29,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.624587,0.449584,0.008673
hermes3D.wgt.k+.34,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.803052966498766,0.098,0.138,0.115,0.2,0.28,0.24,0.36,0.54,0.443,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.155011,0.314249,0.016872
hermes3D.wgt.k+.35,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.8790955271087204,0.098,0.138,0.115,0.2,0.28,0.245,0.54,2.0,0.65,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.175493,0.498674,0.02486
hermes3D.wgt.k+.36,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.625423021862309,0.098,0.138,0.116,0.28,0.37,0.324,0.0,0.23,0.142,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.196868,0.3102,0.024585
hermes3D.wgt.k+.37,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.7061652909375458,0.098,0.138,0.116,0.28,0.37,0.326,0.23,0.36,0.292,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.022793,0.490527,0.002345
hermes3D.wgt.k+.38,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.7538529014715003,0.098,0.138,0.115,0.28,0.37,0.323,0.36,0.54,0.446,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.57381,0.353105,0.024226
hermes3D.wgt.k+.39,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.7894133116750863,0.098,0.138,0.116,0.28,0.37,0.327,0.54,2.0,0.682,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.098113,0.354924,0.007434
hermes3D.wgt.k+.40,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.5940514420808383,0.098,0.138,0.116,0.37,0.49,0.424,0.0,0.23,0.148,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.818578,0.341652,0.037209
