# name: CDF1_W
# comment: CDF 1.8TeV, W-boson production to electron
# reference: Phys.Rev.Lett. 66 (1991)
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,qT_avg,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,y_avg
CDF1_W.0,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,0.0,2.0,1.0,52000.0,False,20.0,20.0,-1.1,1.1,694.0,75.0,451.0,0.0
CDF1_W.1,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,2.0,4.0,3.0,52000.0,False,20.0,20.0,-1.1,1.1,1562.0,102.0,677.0,0.0
CDF1_W.2,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,4.0,6.0,5.0,52000.0,False,20.0,20.0,-1.1,1.1,1419.0,84.0,382.0,0.0
CDF1_W.3,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,6.0,8.0,7.0,52000.0,False,20.0,20.0,-1.1,1.1,1084.0,68.0,219.0,0.0
CDF1_W.4,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,8.0,10.0,9.0,52000.0,False,20.0,20.0,-1.1,1.1,963.0,61.0,196.0,0.0
CDF1_W.5,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,10.0,12.0,11.0,52000.0,False,20.0,20.0,-1.1,1.1,762.0,54.0,173.0,0.0
CDF1_W.6,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,12.0,14.0,13.0,52000.0,False,20.0,20.0,-1.1,1.1,684.0,51.0,164.0,0.0
CDF1_W.7,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,14.0,16.0,15.0,52000.0,False,20.0,20.0,-1.1,1.1,521.0,45.0,122.0,0.0
CDF1_W.8,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,16.0,18.0,17.0,52000.0,False,20.0,20.0,-1.1,1.1,451.0,43.0,104.0,0.0
CDF1_W.9,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,18.0,20.0,19.0,52000.0,False,20.0,20.0,-1.1,1.1,388.0,40.0,86.0,0.0
CDF1_W.10,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,20.0,25.0,22.5,52000.0,False,20.0,20.0,-1.1,1.1,291.0,22.0,65.0,0.0
CDF1_W.11,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,25.0,30.0,27.5,52000.0,False,20.0,20.0,-1.1,1.1,154.0,16.0,33.0,0.0
CDF1_W.12,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,30.0,35.0,32.5,52000.0,False,20.0,20.0,-1.1,1.1,115.0,14.0,24.0,0.0
CDF1_W.13,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,35.0,40.0,37.5,52000.0,False,20.0,20.0,-1.1,1.1,61.1,9.9,12.8,0.0
CDF1_W.14,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,40.0,45.0,42.5,52000.0,False,20.0,20.0,-1.1,1.1,51.5,9.2,10.6,0.0
CDF1_W.15,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,45.0,50.0,47.5,52000.0,False,20.0,20.0,-1.1,1.1,40.4,8.1,8.3,0.0
CDF1_W.16,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,50.0,60.0,54.7,52000.0,False,20.0,20.0,-1.1,1.1,19.6,4.0,4.4,0.0
CDF1_W.17,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,60.0,80.0,68.9,52000.0,False,20.0,20.0,-1.1,1.1,7.3,1.7,2.1,0.0
CDF1_W.18,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,80.0,130.0,99.6,52000.0,False,20.0,20.0,-1.1,1.1,1.18,0.41,0.55,0.0
CDF1_W.19,1,1,-1,6,3240000.0,40.0,300.0,80.0,-100.0,100.0,130.0,200.0,151.2,52000.0,False,20.0,20.0,-1.1,1.1,0.44,0.24,0.15,0.0
