# name: CMS8_W-muon
# comment: CMS 8TeV normalized, W-boson production to muon
# reference: arXiv:1606.05864
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,y_avg,qT_avg
CMS8_W-muon.0,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,0.0,7.5,1176.0,True,20.0,0.0,-2.5,2.5,0.0487509,0.000620294,0.0,3.75
CMS8_W-muon.1,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,7.5,12.5,1176.0,True,20.0,0.0,-2.5,2.5,0.0416289,0.000871954,0.0,10.0
CMS8_W-muon.2,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,12.5,17.5,1176.0,True,20.0,0.0,-2.5,2.5,0.023727,0.000397716,0.0,15.0
CMS8_W-muon.3,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,17.5,24.0,1176.0,True,20.0,0.0,-2.5,2.5,0.014282,0.000199594,0.0,20.75
CMS8_W-muon.4,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,24.0,30.0,1176.0,True,20.0,0.0,-2.5,2.5,0.00925199,0.0001584,0.0,27.0
CMS8_W-muon.5,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,30.0,40.0,1176.0,True,20.0,0.0,-2.5,2.5,0.0059122,0.000117957,0.0,35.0
CMS8_W-muon.6,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,40.0,50.0,1176.0,True,20.0,0.0,-2.5,2.5,0.00350221,6.71448e-05,0.0,45.0
CMS8_W-muon.7,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,50.0,70.0,1176.0,True,20.0,0.0,-2.5,2.5,0.00177224,4.15344e-05,0.0,60.0
CMS8_W-muon.8,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,70.0,110.0,1176.0,True,20.0,0.0,-2.5,2.5,0.000538579,1.60067e-05,0.0,90.0
CMS8_W-muon.9,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,110.0,150.0,1176.0,True,20.0,0.0,-2.5,2.5,0.00012969,7.84054e-06,0.0,130.0
CMS8_W-muon.10,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,150.0,190.0,1176.0,True,20.0,0.0,-2.5,2.5,4.20519e-05,3.59853e-06,0.0,170.0
CMS8_W-muon.11,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,190.0,250.0,1176.0,True,20.0,0.0,-2.5,2.5,1.40076e-05,1.94479e-06,0.0,220.0
CMS8_W-muon.12,1,1,1,6,64000000.0,20.0,300.0,80.0,-2.1,2.1,250.0,600.0,1176.0,True,20.0,0.0,-2.5,2.5,1.14773e-06,2.33309e-07,0.0,425.0
