# name: LHCb7
# comment: LHCb 7TeV
# reference: arXiv:1505.07024
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,corrErr_1,y_avg,qT_avg
LHCb7.0,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,0.0,2.2,330.0,True,20.0,20.0,2.0,4.5,6.454,0.105,0.129,0.081,0.111,3.25,1.1
LHCb7.1,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,2.2,3.4,179.99999999999997,True,20.0,20.0,2.0,4.5,6.52,0.106,0.15,0.081,0.112,3.25,2.8
LHCb7.2,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,3.4,4.6,179.99999999999997,True,20.0,20.0,2.0,4.5,6.209,0.102,0.221,0.078,0.107,3.25,4.0
LHCb7.3,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,4.6,5.8,180.00000000000003,True,20.0,20.0,2.0,4.5,5.868,0.099,0.208,0.073,0.101,3.25,5.199999999999999
LHCb7.4,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,5.8,7.2,210.00000000000006,True,20.0,20.0,2.0,4.5,5.749,0.098,0.154,0.072,0.099,3.25,6.5
LHCb7.5,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,7.2,8.7,224.99999999999986,True,20.0,20.0,2.0,4.5,5.607,0.098,0.083,0.07,0.096,3.25,7.949999999999999
LHCb7.6,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,8.7,10.5,270.0000000000001,True,20.0,20.0,2.0,4.5,5.637,0.098,0.054,0.07,0.097,3.25,9.6
LHCb7.7,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,10.5,12.8,345.0000000000001,True,20.0,20.0,2.0,4.5,5.524,0.096,0.081,0.069,0.095,3.25,11.65
LHCb7.8,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,12.8,15.4,389.99999999999994,True,20.0,20.0,2.0,4.5,5.158,0.092,0.067,0.064,0.089,3.25,14.100000000000001
LHCb7.9,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,15.4,19.0,540.0,True,20.0,20.0,2.0,4.5,4.963,0.087,0.053,0.062,0.085,3.25,17.2
LHCb7.10,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,19.0,24.5,825.0,True,20.0,20.0,2.0,4.5,5.517,0.088,0.055,0.069,0.095,3.25,21.75
LHCb7.11,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,24.5,34.0,1425.0,True,20.0,20.0,2.0,4.5,5.465,0.085,0.067,0.068,0.094,3.25,29.25
LHCb7.12,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,34.0,63.0,4350.0,True,20.0,20.0,2.0,4.5,5.789,0.085,0.076,0.072,0.1,3.25,48.5
LHCb7.13,1,1,1,3,49000000.0,60.0,120.0,91.0,2.0,4.5,63.0,270.0,31050.0,True,20.0,20.0,2.0,4.5,1.516,0.043,0.044,0.019,0.026,3.25,166.5
