# name: A8-00y04
# comment: ATLAS 8TeV 0.0<|y|<0.4
# reference: arXiv:1512.02192
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.028
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,y_avg,qT_avg
A8-00y04.0,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,0.0,2.0,40.0,True,20.0,20.0,-2.4,2.4,3.257,0.009771,0.006514000000000001,0.029313000000000002,0.2,1.0
A8-00y04.1,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,2.0,4.0,40.0,True,20.0,20.0,-2.4,2.4,6.708,0.013416,0.006708,0.040248,0.2,3.0
A8-00y04.2,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,4.0,6.0,40.0,True,20.0,20.0,-2.4,2.4,6.714,0.013428000000000002,0.006714000000000001,0.040284,0.2,5.0
A8-00y04.3,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,6.0,8.0,40.0,True,20.0,20.0,-2.4,2.4,5.886,0.011772000000000001,0.005886000000000001,0.035316,0.2,7.0
A8-00y04.4,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,8.0,10.0,40.0,True,20.0,20.0,-2.4,2.4,4.926,0.014778,0.004926,0.029556,0.2,9.0
A8-00y04.5,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,10.0,13.0,40.0,True,20.0,20.0,-2.4,2.4,3.919,0.007838000000000001,0.003919000000000001,0.023514,0.2,11.5
A8-00y04.6,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,13.0,16.0,40.0,True,20.0,20.0,-2.4,2.4,3.019,0.009057,0.0030190000000000004,0.018114,0.2,14.5
A8-00y04.7,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,16.0,20.0,40.0,True,20.0,20.0,-2.4,2.4,2.28,0.00456,0.00228,0.013679999999999998,0.2,18.0
A8-00y04.8,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,20.0,25.0,40.0,True,20.0,20.0,-2.4,2.4,1.645,0.00329,0.001645,0.009869999999999999,0.2,22.5
A8-00y04.9,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,25.0,30.0,40.0,True,20.0,20.0,-2.4,2.4,1.172,0.0035159999999999996,0.001172,0.007031999999999999,0.2,27.5
A8-00y04.10,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,30.0,37.0,40.0,True,20.0,20.0,-2.4,2.4,0.8242,0.0024726,0.0008242000000000002,0.0057694,0.2,33.5
A8-00y04.11,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,37.0,45.0,40.0,True,20.0,20.0,-2.4,2.4,0.5552,0.0016656000000000002,0.0005552,0.0038864,0.2,41.0
A8-00y04.12,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,45.0,55.0,40.0,True,20.0,20.0,-2.4,2.4,0.3656,0.0010968,0.0007312,0.0029248,0.2,50.0
A8-00y04.13,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,55.0,65.0,40.0,True,20.0,20.0,-2.4,2.4,0.2329,0.0009316,0.0004658,0.0018632,0.2,60.0
A8-00y04.14,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,65.0,75.0,40.0,True,20.0,20.0,-2.4,2.4,0.1552,0.000776,0.0004656,0.0012416,0.2,70.0
A8-00y04.15,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,75.0,85.0,40.0,True,20.0,20.0,-2.4,2.4,0.1033,0.0007231,0.0003099,0.0008264000000000001,0.2,80.0
A8-00y04.16,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,85.0,105.0,40.0,True,20.0,20.0,-2.4,2.4,0.05938,0.00035628,0.00011876000000000001,0.00047504000000000003,0.2,95.0
A8-00y04.17,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,105.0,150.0,40.0,True,20.0,20.0,-2.4,2.4,0.02271,0.00013626,4.542000000000001e-05,0.00015897,0.2,127.5
A8-00y04.18,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,150.0,200.0,40.0,True,20.0,20.0,-2.4,2.4,0.006508,7.158799999999999e-05,2.6031999999999997e-05,5.2063999999999995e-05,0.2,175.0
A8-00y04.19,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,200.0,900.0,40.0,True,20.0,20.0,-2.4,2.4,0.0002753,3.8542e-06,1.1012000000000001e-06,2.753e-06,0.2,550.0
