# name: CMS7
# comment: CMS 7TeV
# reference: arXiv:1110.4973
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,y_avg,qT_avg
CMS7.0,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,0.0,2.5,252.0,True,20.0,20.0,-2.1,2.1,0.0322,0.0013,0.0,1.25
CMS7.1,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,2.5,5.0,252.0,True,20.0,20.0,-2.1,2.1,0.0592,0.0017,0.0,3.75
CMS7.2,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,5.0,7.5,252.0,True,20.0,20.0,-2.1,2.1,0.055,0.0016,0.0,6.25
CMS7.3,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,7.5,10.0,252.0,True,20.0,20.0,-2.1,2.1,0.0396,0.0014,0.0,8.75
CMS7.4,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,10.0,12.5,252.0,True,20.0,20.0,-2.1,2.1,0.0353,0.0012,0.0,11.25
CMS7.5,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,12.5,15.0,252.0,True,20.0,20.0,-2.1,2.1,0.0272,0.0012,0.0,13.75
CMS7.6,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,15.0,17.5,252.0,True,20.0,20.0,-2.1,2.1,0.0216,0.001,0.0,16.25
CMS7.7,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,17.5,20.0,252.0,True,20.0,20.0,-2.1,2.1,0.0165,0.0009,0.0,18.75
CMS7.8,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,20.0,30.0,252.0,True,20.0,20.0,-2.1,2.1,0.0116,0.0004,0.0,25.0
CMS7.9,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,30.0,40.0,252.0,True,20.0,20.0,-2.1,2.1,0.00598,0.00027,0.0,35.0
CMS7.10,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,40.0,50.0,252.0,True,20.0,20.0,-2.1,2.1,0.00338,0.00018,0.0,45.0
CMS7.11,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,50.0,70.0,252.0,True,20.0,20.0,-2.1,2.1,0.00181,9e-05,0.0,60.0
CMS7.12,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,70.0,90.0,252.0,True,20.0,20.0,-2.1,2.1,0.000779,5.4e-05,0.0,80.0
CMS7.13,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,90.0,110.0,252.0,True,20.0,20.0,-2.1,2.1,0.000475,4.2e-05,0.0,100.0
CMS7.14,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,110.0,150.0,252.0,True,20.0,20.0,-2.1,2.1,0.000193,1.7e-05,0.0,130.0
CMS7.15,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,150.0,190.0,252.0,True,20.0,20.0,-2.1,2.1,6e-05,9.9e-06,0.0,170.0
CMS7.16,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,190.0,250.0,252.0,True,20.0,20.0,-2.1,2.1,1.51e-05,4.3e-06,0.0,220.0
CMS7.17,1,1,1,3,49000000.0,60.0,120.0,91.0,-2.1,2.1,250.0,600.0,252.0,True,20.0,20.0,-2.1,2.1,1.29e-06,4.4e-07,0.0,425.0
