# name: LHCb8
# comment: LHCb 8TeV
# reference: arXiv:1511.08039
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,corrErr_1,y_avg,qT_avg
LHCb8.0,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,0.0,2.2,330.0,True,20.0,20.0,2.0,4.5,7.903,0.082,0.13,0.091,0.092,3.25,1.1
LHCb8.1,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,2.2,3.4,179.99999999999997,True,20.0,20.0,2.0,4.5,7.705,0.08,0.108,0.089,0.09,3.25,2.8
LHCb8.2,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,3.4,4.6,179.99999999999997,True,20.0,20.0,2.0,4.5,7.609,0.078,0.08,0.088,0.089,3.25,4.0
LHCb8.3,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,4.6,5.8,180.00000000000003,True,20.0,20.0,2.0,4.5,7.073,0.075,0.078,0.081,0.083,3.25,5.199999999999999
LHCb8.4,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,5.8,7.2,210.00000000000006,True,20.0,20.0,2.0,4.5,7.379,0.078,0.069,0.085,0.086,3.25,6.5
LHCb8.5,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,7.2,8.7,224.99999999999986,True,20.0,20.0,2.0,4.5,6.813,0.076,0.074,0.078,0.08,3.25,7.949999999999999
LHCb8.6,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,8.7,10.5,270.0000000000001,True,20.0,20.0,2.0,4.5,6.751,0.075,0.064,0.078,0.079,3.25,9.6
LHCb8.7,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,10.5,12.8,345.0000000000001,True,20.0,20.0,2.0,4.5,7.204,0.078,0.073,0.083,0.084,3.25,11.65
LHCb8.8,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,12.8,15.4,389.99999999999994,True,20.0,20.0,2.0,4.5,6.27,0.073,0.053,0.072,0.073,3.25,14.100000000000001
LHCb8.9,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,15.4,19.0,540.0,True,20.0,20.0,2.0,4.5,6.534,0.072,0.064,0.075,0.076,3.25,17.2
LHCb8.10,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,19.0,24.5,825.0,True,20.0,20.0,2.0,4.5,6.953,0.071,0.066,0.08,0.081,3.25,21.75
LHCb8.11,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,24.5,34.0,1425.0,True,20.0,20.0,2.0,4.5,6.999,0.069,0.062,0.08,0.082,3.25,29.25
LHCb8.12,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,34.0,63.0,4350.0,True,20.0,20.0,2.0,4.5,7.602,0.07,0.072,0.087,0.089,3.25,48.5
LHCb8.13,1,1,1,3,64000000.0,60.0,120.0,91.0,2.0,4.5,63.0,270.0,31050.0,True,20.0,20.0,2.0,4.5,2.176,0.037,0.025,0.025,0.025,3.25,166.5
