# name: CMS13_dQ_76to106
# comment: CMS 13TeV 2021 preliminary
# reference: CMS-PAS-SMP-20-003
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.012
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg
CMS13_dQ_76to106.0,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,0.0,1.0,136.77054297592127,True,25.0,20.0,-2.4,2.4,8.59,0.1981294253764443,91.0,0.0,0.5
CMS13_dQ_76to106.1,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,1.0,2.0,137.02400513078777,True,25.0,20.0,-2.4,2.4,23.09,0.2780404188243141,91.0,0.0,1.5
CMS13_dQ_76to106.2,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,2.0,3.0,137.80104480369388,True,25.0,20.0,-2.4,2.4,32.05,0.28845,91.0,0.0,2.5
CMS13_dQ_76to106.3,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,3.0,4.0,138.4895053518404,True,25.0,20.0,-2.4,2.4,36.36,0.38479807068123417,91.0,0.0,3.5
CMS13_dQ_76to106.4,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,4.0,5.0,139.14342419096167,True,25.0,20.0,-2.4,2.4,37.45,0.33705000000000007,91.0,0.0,4.5
CMS13_dQ_76to106.5,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,5.0,6.0,139.8670897438921,True,25.0,20.0,-2.4,2.4,36.53,0.32877,91.0,0.0,5.5
CMS13_dQ_76to106.6,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,6.0,7.0,140.41256429176852,True,25.0,20.0,-2.4,2.4,34.62,0.3663836415562246,91.0,0.0,6.5
CMS13_dQ_76to106.7,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,7.0,8.0,140.88584794613087,True,25.0,20.0,-2.4,2.4,32.59,0.29331,91.0,0.0,7.5
CMS13_dQ_76to106.8,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,8.0,9.0,141.0145844627761,True,25.0,20.0,-2.4,2.4,30.21,0.3197125884290452,91.0,0.0,8.5
CMS13_dQ_76to106.9,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,9.0,10.0,141.3006475367112,True,25.0,20.0,-2.4,2.4,28.23,0.25407,91.0,0.0,9.5
CMS13_dQ_76to106.10,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,10.0,11.0,141.59047837070733,True,25.0,20.0,-2.4,2.4,25.88,0.23292,91.0,0.0,10.5
CMS13_dQ_76to106.11,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,11.0,12.0,141.40378132565104,True,25.0,20.0,-2.4,2.4,24.13,0.21717,91.0,0.0,11.5
CMS13_dQ_76to106.12,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,12.0,13.0,141.52230531579892,True,25.0,20.0,-2.4,2.4,22.07,0.23356692574078214,91.0,0.0,12.5
CMS13_dQ_76to106.13,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,13.0,14.0,141.5500336166585,True,25.0,20.0,-2.4,2.4,20.61,0.2181157380841649,91.0,0.0,13.5
CMS13_dQ_76to106.14,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,14.0,16.0,141.3607134899292,True,25.0,20.0,-2.4,2.4,18.46,0.16614,91.0,0.0,15.0
CMS13_dQ_76to106.15,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,16.0,18.0,141.11272222424145,True,25.0,20.0,-2.4,2.4,15.82,0.14238,91.0,0.0,17.0
CMS13_dQ_76to106.16,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,18.0,20.0,141.0503439238372,True,25.0,20.0,-2.4,2.4,13.89,0.12501,91.0,0.0,19.0
CMS13_dQ_76to106.17,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,20.0,22.0,140.69663712174076,True,25.0,20.0,-2.4,2.4,12.0,0.12699606293110038,91.0,0.0,21.0
CMS13_dQ_76to106.18,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,22.0,25.0,140.71271871483555,True,25.0,20.0,-2.4,2.4,10.32,0.10921661412074635,91.0,0.0,23.5
CMS13_dQ_76to106.19,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,25.0,28.0,140.40866644411892,True,25.0,20.0,-2.4,2.4,8.54,0.09037886478596643,91.0,0.0,26.5
CMS13_dQ_76to106.20,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,28.0,32.0,140.2254942802605,True,25.0,20.0,-2.4,2.4,7.03,0.07439852686713631,91.0,0.0,30.0
CMS13_dQ_76to106.21,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,32.0,37.0,140.14364353638976,True,25.0,20.0,-2.4,2.4,5.562,0.06697534904724274,91.0,0.0,34.5
CMS13_dQ_76to106.22,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,37.0,43.0,139.89840267112683,True,25.0,20.0,-2.4,2.4,4.227,0.05089982028455503,91.0,0.0,40.0
CMS13_dQ_76to106.23,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,43.0,52.0,139.68710883062423,True,25.0,20.0,-2.4,2.4,3.056,0.041000542435436146,91.0,0.0,47.5
CMS13_dQ_76to106.24,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,52.0,65.0,139.20213665999628,True,25.0,20.0,-2.4,2.4,1.944,0.02863690821300372,91.0,0.0,58.5
CMS13_dQ_76to106.25,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,65.0,85.0,138.02704524929123,True,25.0,20.0,-2.4,2.4,1.032,0.015202309298261236,91.0,0.0,75.0
