# name: E537-dxF
# comment: E537 data xF-differential
# reference: Phys.Rev.D 93 (1988) 1377
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.08
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E537-dxF.00TO01.7,2,-1,184074,1,235.4,4.0,9.0,0.0,0.1,1.8708286933869707,2.0,0.0012917130661302934,False,0.0,0.0115,6.5,0.05,1.9354143466934852,0.0,0.0,-100.0,100.0
E537-dxF.00TO01.8,2,-1,184074,1,235.4,4.0,9.0,0.0,0.1,2.0,2.1213203435596424,0.001213203435596426,False,0.0,0.00848,6.5,0.05,2.060660171779821,0.0,0.0,-100.0,100.0
E537-dxF.00TO01.9,2,-1,184074,1,235.4,4.0,9.0,0.0,0.1,2.1213203435596424,2.23606797749979,0.0011474763394014702,False,0.0,0.00745,6.5,0.05,2.178694160529716,0.0,0.0,-100.0,100.0
E537-dxF.00TO01.10,2,-1,184074,1,235.4,4.0,9.0,0.0,0.1,2.23606797749979,2.345207879911715,0.0010913990241192524,False,0.0,0.00752,6.5,0.05,2.2906379287057526,0.0,0.0,-100.0,100.0
E537-dxF.00TO01.11,2,-1,184074,1,235.4,4.0,9.0,0.0,0.1,2.345207879911715,2.449489742783178,0.001042818628714632,False,0.0,0.0077,6.5,0.05,2.397348811347446,0.0,0.0,-100.0,100.0
E537-dxF.00TO01.12,2,-1,184074,1,235.4,4.0,9.0,0.0,0.1,2.449489742783178,2.5495097567963922,0.0010002001401321437,False,0.0,0.0171,6.5,0.05,2.499499749789785,0.0,0.0,-100.0,100.0
E537-dxF.00TO01.13,2,-1,184074,1,235.4,4.0,9.0,0.0,0.1,2.5495097567963922,2.6457513110645907,0.0009624155426819812,False,0.0,0.00717,6.5,0.05,2.5976305339304915,0.0,0.0,-100.0,100.0
E537-dxF.00TO01.14,2,-1,184074,1,235.4,4.0,9.0,0.0,0.1,2.6457513110645907,2.7386127875258306,0.0009286147646124004,False,0.0,0.0198,6.5,0.05,2.6921820492952104,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.0,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,0.0,0.7071067811865476,0.0070710678118654745,False,0.152,0.0327,6.5,0.15000000000000002,0.3535533905932738,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.1,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,0.7071067811865476,1.0,0.0029289321881345244,False,0.133,0.0318,6.5,0.15000000000000002,0.8535533905932737,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.2,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,1.0,1.224744871391589,0.0022474487139158904,False,0.0769,0.0225,6.5,0.15000000000000002,1.1123724356957945,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.3,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,1.224744871391589,1.4142135623730951,0.0018946869098150595,False,0.032,0.0144,6.5,0.15000000000000002,1.3194792168823422,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.4,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,1.4142135623730951,1.5811388300841898,0.0016692526771109463,False,0.0231,0.0116,6.5,0.15000000000000002,1.4976761962286425,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.5,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,1.5811388300841898,1.7320508075688772,0.001509119774846877,False,0.0135,0.00964,6.5,0.15000000000000002,1.6565948188265334,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.6,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.015,0.0107,6.5,0.15000000000000002,1.801439750477924,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.7,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,1.8708286933869707,2.0,0.0012917130661302934,False,0.0,0.00643,6.5,0.15000000000000002,1.9354143466934852,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.8,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,2.0,2.1213203435596424,0.001213203435596426,False,0.0124,0.00906,6.5,0.15000000000000002,2.060660171779821,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.9,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,2.1213203435596424,2.23606797749979,0.0011474763394014702,False,0.00971,0.00706,6.5,0.15000000000000002,2.178694160529716,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.10,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,2.23606797749979,2.345207879911715,0.0010913990241192524,False,0.0,0.00359,6.5,0.15000000000000002,2.2906379287057526,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.11,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,2.345207879911715,2.449489742783178,0.001042818628714632,False,0.00586,0.00608,6.5,0.15000000000000002,2.397348811347446,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.12,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,2.449489742783178,2.5495097567963922,0.0010002001401321437,False,0.00489,0.00505,6.5,0.15000000000000002,2.499499749789785,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.13,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,2.5495097567963922,2.6457513110645907,0.0009624155426819812,False,0.0,0.0138,6.5,0.15000000000000002,2.5976305339304915,0.0,0.0,-100.0,100.0
E537-dxF.01TO02.14,2,-1,184074,1,235.4,4.0,9.0,0.1,0.2,2.6457513110645907,2.7386127875258306,0.0009286147646124004,False,0.00302,0.0032,6.5,0.15000000000000002,2.6921820492952104,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.0,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,0.0,0.7071067811865476,0.007071067811865475,False,0.21,0.0343,6.5,0.25,0.3535533905932738,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.1,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,0.7071067811865476,1.0,0.002928932188134525,False,0.109,0.0242,6.5,0.25,0.8535533905932737,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.2,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,1.0,1.224744871391589,0.0022474487139158904,False,0.0568,0.0166,6.5,0.25,1.1123724356957945,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.3,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,1.224744871391589,1.4142135623730951,0.0018946869098150595,False,0.0274,0.0113,6.5,0.25,1.3194792168823422,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.4,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,1.4142135623730951,1.5811388300841898,0.0016692526771109463,False,0.0142,0.00826,6.5,0.25,1.4976761962286425,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.5,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,1.5811388300841898,1.7320508075688772,0.0015091197748468772,False,0.0252,0.0105,6.5,0.25,1.6565948188265334,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.6,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.00927,0.00662,6.5,0.25,1.801439750477924,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.7,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,1.8708286933869707,2.0,0.0012917130661302934,False,0.0106,0.00624,6.5,0.25,1.9354143466934852,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.8,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,2.0,2.1213203435596424,0.001213203435596426,False,0.00417,0.00422,6.5,0.25,2.060660171779821,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.9,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,2.1213203435596424,2.23606797749979,0.0011474763394014702,False,0.0,0.00328,6.5,0.25,2.178694160529716,0.0,0.0,-100.0,100.0
