# name: CMS13_dQ_106to170
# comment: CMS 13TeV 2021 preliminary
# reference: CMS-PAS-SMP-20-003
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.012
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg
CMS13_dQ_106to170.0,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,0.0,2.0,286.36482018624395,True,25.0,20.0,-2.4,2.4,0.3316,0.0057146909207760315,138.0,0.0,1.0
CMS13_dQ_106to170.1,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,2.0,4.0,288.06202335440344,True,25.0,20.0,-2.4,2.4,0.743,0.010945073457953583,138.0,0.0,3.0
CMS13_dQ_106to170.2,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,4.0,6.0,289.65595858938116,True,25.0,20.0,-2.4,2.4,0.811,0.01194677600861421,138.0,0.0,5.0
CMS13_dQ_106to170.3,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,6.0,8.0,291.5251254611402,True,25.0,20.0,-2.4,2.4,0.755,0.011121844496305457,138.0,0.0,7.0
CMS13_dQ_106to170.4,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,8.0,10.0,291.48308071656106,True,25.0,20.0,-2.4,2.4,0.674,0.009928639987430304,138.0,0.0,9.0
CMS13_dQ_106to170.5,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,10.0,12.0,292.8491415959632,True,25.0,20.0,-2.4,2.4,0.591,0.009456,138.0,0.0,11.0
CMS13_dQ_106to170.6,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,12.0,14.0,293.02879349381453,True,25.0,20.0,-2.4,2.4,0.521,0.008336000000000001,138.0,0.0,13.0
CMS13_dQ_106to170.7,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,14.0,18.0,292.9903824953201,True,25.0,20.0,-2.4,2.4,0.423,0.006768000000000001,138.0,0.0,16.0
CMS13_dQ_106to170.8,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,18.0,22.0,293.5645378319448,True,25.0,20.0,-2.4,2.4,0.3297,0.005681946913690764,138.0,0.0,20.0
CMS13_dQ_106to170.9,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,22.0,28.0,294.544418933135,True,25.0,20.0,-2.4,2.4,0.2494,0.004298081772139754,138.0,0.0,25.0
CMS13_dQ_106to170.10,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,28.0,37.0,292.6490195814869,True,25.0,20.0,-2.4,2.4,0.1733,0.003195494108897715,138.0,0.0,32.5
CMS13_dQ_106to170.11,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,37.0,52.0,294.41096435499753,True,25.0,20.0,-2.4,2.4,0.1027,0.0020151195125847994,138.0,0.0,44.5
CMS13_dQ_106to170.12,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,52.0,85.0,293.0411931401117,True,25.0,20.0,-2.4,2.4,0.0462,0.0010656087837475816,138.0,0.0,68.5
CMS13_dQ_106to170.13,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,85.0,160.0,182.6324343015934,True,25.0,20.0,-2.4,2.4,0.01116,0.00030684926853424306,138.0,0.0,122.5
CMS13_dQ_106to170.14,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,160.0,250.0,277.1392888714105,True,25.0,20.0,-2.4,2.4,0.0018,5.1449781340643236e-05,138.0,0.0,205.0
CMS13_dQ_106to170.15,1,1,1,3,169000000.0,106.0,170.0,-2.4,2.4,250.0,1000.0,295.3415778691095,True,25.0,20.0,-2.4,2.4,6.01e-05,2.3561959532263014e-06,138.0,0.0,625.0
