# name: A8-12y16
# comment: ATLAS 8TeV 1.2<|y|<1.6
# reference: arXiv:1512.02192
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.028
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,y_avg,qT_avg
A8-12y16.0,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,0.0,2.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,2.563,0.010252,0.005126,0.023067,1.4,1.0
A8-12y16.1,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,2.0,4.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,5.341,0.016023,0.005341,0.037387,1.4,3.0
A8-12y16.2,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,4.0,6.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,5.332,0.015996,0.010664,0.031992,1.4,5.0
A8-12y16.3,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,6.0,8.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,4.647,0.013941,0.004647000000000001,0.023235000000000002,1.4,7.0
A8-12y16.4,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,8.0,10.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,3.923,0.011769,0.007846,0.019615,1.4,9.0
A8-12y16.5,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,10.0,13.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,3.152,0.009455999999999999,0.0031520000000000003,0.012608000000000001,1.4,11.5
A8-12y16.6,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,13.0,16.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,2.443,0.007329,0.0024430000000000003,0.012215,1.4,14.5
A8-12y16.7,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,16.0,20.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,1.847,0.005541,0.0018470000000000001,0.009235,1.4,18.0
A8-12y16.8,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,20.0,25.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,1.324,0.003972,0.001324,0.00662,1.4,22.5
A8-12y16.9,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,25.0,30.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.9558,0.0038232000000000006,0.0009558000000000001,0.0057348,1.4,27.5
A8-12y16.10,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,30.0,37.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.6669,0.0026676000000000004,0.0006669000000000001,0.0040014000000000004,1.4,33.5
A8-12y16.11,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,37.0,45.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.4442,0.0017768,0.0008884,0.0026652,1.4,41.0
A8-12y16.12,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,45.0,55.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.287,0.001148,0.000574,0.0020089999999999995,1.4,50.0
A8-12y16.13,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,55.0,65.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.1869,0.0009345,0.00037380000000000003,0.0014952000000000001,1.4,60.0
A8-12y16.14,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,65.0,75.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.1238,0.0008665999999999999,0.0003714,0.0009904,1.4,70.0
A8-12y16.15,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,75.0,85.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.08476,0.0006780800000000001,0.00025428,0.00076284,1.4,80.0
A8-12y16.16,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,85.0,105.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.04781,0.00033466999999999997,0.00014342999999999997,0.00038248,1.4,95.0
A8-12y16.17,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,105.0,150.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.01866,0.00013061999999999997,3.732e-05,0.00013061999999999997,1.4,127.5
A8-12y16.18,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,150.0,200.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.005168,6.7184e-05,2.0672e-05,4.1344e-05,1.4,175.0
A8-12y16.19,1,1,1,3,64000000.0,66.0,116.0,91.0,1.2,1.6,200.0,900.0,40.000000000000014,True,20.0,20.0,-2.4,2.4,0.0002023,3.4391e-06,1.0115e-06,2.4276e-06,1.4,550.0
