# name: E605
# comment: E605 data
# reference: Phys.Rev.D 43 (1991) 2815
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.15
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,uncorrErr_1,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E605.7Q8.0,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.0,0.2,0.6362082813445097,False,0.785,0.1692059,0.03925000000000001,7.5,0.05,0.1,0.0,0.0,-100.0,100.0
E605.7Q8.1,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.19999999999999998,0.4,0.21221072233883123,False,0.973,0.1762993,0.04865,7.5,0.05,0.3,0.0,0.0,-100.0,100.0
E605.7Q8.2,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.4,0.6,0.12749581855695194,False,0.825,0.1442574,0.04125,7.5,0.05,0.5,0.0,0.0,-100.0,100.0
E605.7Q8.3,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.6,0.7999999999999999,0.0912496251291182,False,0.805,0.1394619,0.04025000000000001,7.5,0.05,0.7,0.0,0.0,-100.0,100.0
E605.7Q8.4,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.8,1.0,0.07115939034180027,False,0.569,0.09937236,0.02845,7.5,0.05,0.9,0.0,0.0,-100.0,100.0
E605.7Q8.5,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.0,1.2000000000000002,0.05841247317289397,False,0.537,0.09595475,0.026850000000000002,7.5,0.05,1.1,0.0,0.0,-100.0,100.0
E605.7Q8.6,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.2,1.4000000000000001,0.04961933750835212,False,0.388,0.07269525,0.0194,7.5,0.05,1.3,0.0,0.0,-100.0,100.0
E605.7Q8.7,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.4,1.6,0.043198151424297636,False,0.312,0.06227038,0.015600000000000001,7.5,0.05,1.5,0.0,0.0,-100.0,100.0
E605.7Q8.8,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.5999999999999999,1.8,0.03831143437360309,False,0.229,0.0519838,0.011450000000000002,7.5,0.05,1.7,0.0,0.0,-100.0,100.0
E605.7Q8.9,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.7999999999999998,2.0,0.03447429587832258,False,0.136,0.03748186,0.0068000000000000005,7.5,0.05,1.9,0.0,0.0,-100.0,100.0
E605.7Q8.10,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,2.0,2.2,0.031386538011252754,False,0.137,0.04841606,0.006850000000000001,7.5,0.05,2.1,0.0,0.0,-100.0,100.0
E605.8Q9.0,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,0.0,0.2,0.7160088986930819,False,0.333,0.05811527,0.01665,8.5,0.05,0.1,0.0,0.0,-100.0,100.0
E605.8Q9.1,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,0.19999999999999998,0.4,0.23879518928628685,False,0.439,0.07226365,0.02195,8.5,0.05,0.3,0.0,0.0,-100.0,100.0
E605.8Q9.2,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,0.4,0.6,0.14342766253328199,False,0.368,0.05982316,0.0184,8.5,0.05,0.5,0.0,0.0,-100.0,100.0
E605.8Q9.3,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,0.6,0.7999999999999999,0.10260942153308586,False,0.37,0.06006213,0.0185,8.5,0.05,0.7,0.0,0.0,-100.0,100.0
E605.8Q9.4,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,0.8,1.0,0.07997408000586141,False,0.259,0.04212647,0.012950000000000001,8.5,0.05,0.9,0.0,0.0,-100.0,100.0
E605.8Q9.5,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,1.0,1.2000000000000002,0.06560348115129751,False,0.224,0.0366258,0.011200000000000002,8.5,0.05,1.1,0.0,0.0,-100.0,100.0
E605.8Q9.6,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,1.2,1.4000000000000001,0.05568290711205976,False,0.18,0.02983459,0.009,8.5,0.05,1.3,0.0,0.0,-100.0,100.0
E605.8Q9.7,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,1.4,1.6,0.04843212112332835,False,0.131,0.02221138,0.00655,8.5,0.05,1.5,0.0,0.0,-100.0,100.0
E605.8Q9.8,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,1.5999999999999999,1.8,0.0429086154085191,False,0.0875,0.01540697,0.0043749999999999995,8.5,0.05,1.7,0.0,0.0,-100.0,100.0
E605.8Q9.9,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,1.7999999999999998,2.0,0.03856670267025122,False,0.0713,0.01328583,0.0035650000000000005,8.5,0.05,1.9,0.0,0.0,-100.0,100.0
E605.8Q9.10,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,2.0,2.2,0.03506855542463493,False,0.0482,0.009907063,0.0024100000000000002,8.5,0.05,2.1,0.0,0.0,-100.0,100.0
E605.8Q9.11,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,2.1999999999999997,2.4,0.03219383360120254,False,0.0272,0.006918988,0.00136,8.5,0.05,2.3,0.0,0.0,-100.0,100.0
E605.8Q9.12,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,2.4,2.6,0.029792690960103754,False,0.0217,0.006188275,0.001085,8.5,0.05,2.5,0.0,0.0,-100.0,100.0
E605.8Q9.13,2,1,63029,1,1502.3375999999998,8.0,9.0,-0.1,0.2,2.6,2.8000000000000003,0.027759667588398915,False,0.0184,0.00640844,0.00092,8.5,0.05,2.7,0.0,0.0,-100.0,100.0
E605.10Q11.0,2,1,63029,1,1502.3375999999998,10.5,11.5,-0.1,0.2,0.0,0.2,0.9173059559364829,False,0.0701,0.0139072,0.003505,11.0,0.05,0.1,0.0,0.0,-100.0,100.0
E605.10Q11.1,2,1,63029,1,1502.3375999999998,10.5,11.5,-0.1,0.2,0.19999999999999998,0.4,0.3058666658720805,False,0.0784,0.01357776,0.00392,11.0,0.05,0.3,0.0,0.0,-100.0,100.0
E605.10Q11.2,2,1,63029,1,1502.3375999999998,10.5,11.5,-0.1,0.2,0.4,0.6,0.18363755969658171,False,0.0712,0.01198793,0.0035600000000000002,11.0,0.05,0.5,0.0,0.0,-100.0,100.0
E605.10Q11.3,2,1,63029,1,1502.3375999999998,10.5,11.5,-0.1,0.2,0.6,0.7999999999999999,0.1312955421293717,False,0.0624,0.01040673,0.00312,11.0,0.05,0.7,0.0,0.0,-100.0,100.0
E605.10Q11.4,2,1,63029,1,1502.3375999999998,10.5,11.5,-0.1,0.2,0.8,1.0,0.10224912720110226,False,0.0503,0.008383004,0.002515,11.0,0.05,0.9,0.0,0.0,-100.0,100.0
E605.10Q11.5,2,1,63029,1,1502.3375999999998,10.5,11.5,-0.1,0.2,1.0,1.2000000000000002,0.08379152106201758,False,0.039,0.006504606,0.0019500000000000001,11.0,0.05,1.1,0.0,0.0,-100.0,100.0
E605.10Q11.6,2,1,63029,1,1502.3375999999998,10.5,11.5,-0.1,0.2,1.2,1.4000000000000001,0.07103547460302277,False,0.0312,0.005237709,0.00156,11.0,0.05,1.3,0.0,0.0,-100.0,100.0
