# name: E288-400
# comment: E288 (400) data
# reference: Phys.Rev.D 23 (1981) 604
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.25
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E288-400.5Q6.0,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,0.0,0.2,1591.5494309189996,False,2880.0,120.0,5.5,0.02999999999999997,0.1,0.0,0.0,-100.0,100.0
E288-400.5Q6.1,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,0.2,0.4,530.5164769729998,False,2760.0,80.0,5.5,0.02999999999999997,0.30000000000000004,0.0,0.0,-100.0,100.0
E288-400.5Q6.2,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,0.4,0.6,318.3098861838,False,2300.0,70.0,5.5,0.02999999999999997,0.5,0.0,0.0,-100.0,100.0
E288-400.5Q6.3,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,0.6,0.8,227.36420441699997,False,2080.0,70.0,5.5,0.02999999999999997,0.7,0.0,0.0,-100.0,100.0
E288-400.5Q6.4,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,0.8,1.0,176.83882565766675,False,1480.0,60.0,5.5,0.02999999999999997,0.9,0.0,0.0,-100.0,100.0
E288-400.5Q6.5,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,1.0,1.2,144.6863119017273,False,1180.0,60.0,5.5,0.02999999999999997,1.1,0.0,0.0,-100.0,100.0
E288-400.5Q6.6,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,1.2,1.4,122.42687930146157,False,817.0,48.0,5.5,0.02999999999999997,1.2999999999999998,0.0,0.0,-100.0,100.0
E288-400.5Q6.7,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,1.4,1.6,106.10329539459997,False,590.0,43.0,5.5,0.02999999999999997,1.5,0.0,0.0,-100.0,100.0
E288-400.5Q6.8,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,1.6,1.8,93.6205547599412,False,458.0,37.0,5.5,0.02999999999999997,1.7000000000000002,0.0,0.0,-100.0,100.0
E288-400.5Q6.9,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,1.8,2.0,83.76575952205263,False,319.0,32.0,5.5,0.02999999999999997,1.9,0.0,0.0,-100.0,100.0
E288-400.5Q6.10,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,2.0,2.2,75.788068139,False,167.0,24.0,5.5,0.02999999999999997,2.1,0.0,0.0,-100.0,100.0
E288-400.5Q6.11,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,2.2,2.4,69.19780134430432,False,111.0,21.0,5.5,0.02999999999999997,2.3,0.0,0.0,-100.0,100.0
E288-400.5Q6.12,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,2.4,2.6,63.66197723676001,False,71.0,19.0,5.5,0.02999999999999997,2.5,0.0,0.0,-100.0,100.0
E288-400.5Q6.13,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,2.6,2.8,58.94627521922224,False,49.0,15.0,5.5,0.02999999999999997,2.7,0.0,0.0,-100.0,100.0
E288-400.5Q6.14,1,1,63029,1,752.4049,5.0,6.0,-0.27,0.32999999999999996,2.8,3.0,54.88101485927587,False,53.0,14.0,5.5,0.02999999999999997,2.9,0.0,0.0,-100.0,100.0
