# name: A8-20y24-norm
# comment: ATLAS 8TeV 2.0<|y|<2.4 normalized to 1/sigma
# reference: arXiv:1512.02192
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,y_avg,qT_avg
A8-20y24-norm.0,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,0.0,2.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.02676,0.00021408,0.00010704,0.0004014,2.2,1.0
A8-20y24-norm.1,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,2.0,4.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.05429,0.00027145,0.00016287,0.00048861,2.2,3.0
A8-20y24-norm.2,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,4.0,6.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.05338,0.00032028,0.00016014,0.00032028,2.2,5.0
A8-20y24-norm.3,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,6.0,8.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.04567,0.00027402000000000004,0.00013701000000000002,0.00031969,2.2,7.0
A8-20y24-norm.4,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,8.0,10.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.03867,0.00023202,0.00011601,0.00023202,2.2,9.0
A8-20y24-norm.5,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,10.0,13.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.031,0.000186,9.3e-05,0.000155,2.2,11.5
A8-20y24-norm.6,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,13.0,16.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.02401,0.00016807,7.203e-05,0.00012005,2.2,14.5
A8-20y24-norm.7,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,16.0,20.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.01877,0.00011261999999999999,5.6309999999999994e-05,7.507999999999999e-05,2.2,18.0
A8-20y24-norm.8,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,20.0,25.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.01386,9.702e-05,4.158e-05,6.93e-05,2.2,22.5
A8-20y24-norm.9,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,25.0,30.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.01019,8.152e-05,4.076e-05,6.114e-05,2.2,27.5
A8-20y24-norm.10,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,30.0,37.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.007377,5.163899999999999e-05,2.2131e-05,3.6885e-05,2.2,33.5
A8-20y24-norm.11,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,37.0,45.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.005226,4.1808000000000004e-05,1.5677999999999998e-05,2.613e-05,2.2,41.0
A8-20y24-norm.12,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,45.0,55.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.003517,2.8136000000000003e-05,1.0551000000000001e-05,2.1102000000000002e-05,2.2,50.0
A8-20y24-norm.13,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,55.0,65.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.002368,2.368e-05,9.472e-06,1.4208e-05,2.2,60.0
A8-20y24-norm.14,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,65.0,75.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.001538,1.9994000000000002e-05,9.228e-06,1.5380000000000002e-05,2.2,70.0
A8-20y24-norm.15,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,75.0,85.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.001021,1.6336e-05,6.126e-06,1.1231000000000001e-05,2.2,80.0
A8-20y24-norm.16,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,85.0,105.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.0005546,7.764400000000001e-06,2.7730000000000004e-06,5.546000000000001e-06,2.2,95.0
A8-20y24-norm.17,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,105.0,150.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.0002005,2.8069999999999996e-06,1.0025e-06,1.8044999999999998e-06,2.2,127.5
A8-20y24-norm.18,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,150.0,200.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,5.744e-05,1.49344e-06,5.744e-07,8.615999999999999e-07,2.2,175.0
A8-20y24-norm.19,1,1,1,3,64000000.0,66.0,116.0,91.0,2.0,2.4,200.0,900.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,1.765e-06,6.706999999999999e-08,2.118e-08,3.8830000000000004e-08,2.2,550.0
