# name: CMS13_dQ_170to350
# comment: CMS 13TeV 2021 preliminary
# reference: CMS-PAS-SMP-20-003
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.012
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg
CMS13_dQ_170to350.0,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,0.0,2.0,798.8637937786375,True,25.0,20.0,-2.4,2.4,0.0344,0.0015632141248082426,260.0,0.0,1.0
CMS13_dQ_170to350.1,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,2.0,4.0,813.8817939559895,True,25.0,20.0,-2.4,2.4,0.0781,0.002232348845946798,260.0,0.0,3.0
CMS13_dQ_170to350.2,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,4.0,6.0,814.3253476134835,True,25.0,20.0,-2.4,2.4,0.0902,0.0023813483323529136,260.0,0.0,5.0
CMS13_dQ_170to350.3,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,6.0,8.0,813.2488401673768,True,25.0,20.0,-2.4,2.4,0.0871,0.00229950598390176,260.0,0.0,7.0
CMS13_dQ_170to350.4,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,8.0,10.0,831.5456065230134,True,25.0,20.0,-2.4,2.4,0.0827,0.0023638316204839973,260.0,0.0,9.0
CMS13_dQ_170to350.5,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,10.0,12.0,827.30039996623,True,25.0,20.0,-2.4,2.4,0.0758,0.002166607458678199,260.0,0.0,11.0
CMS13_dQ_170to350.6,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,12.0,14.0,831.9503923387538,True,25.0,20.0,-2.4,2.4,0.0653,0.0019371110448293874,260.0,0.0,13.0
CMS13_dQ_170to350.7,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,14.0,18.0,840.2754446248464,True,25.0,20.0,-2.4,2.4,0.0548,0.0016256307083713697,260.0,0.0,16.0
CMS13_dQ_170to350.8,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,18.0,22.0,841.1383148179385,True,25.0,20.0,-2.4,2.4,0.0465,0.0013291193512999502,260.0,0.0,20.0
CMS13_dQ_170to350.9,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,22.0,28.0,842.0556097812945,True,25.0,20.0,-2.4,2.4,0.0353,0.0010851520861151216,260.0,0.0,25.0
CMS13_dQ_170to350.10,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,28.0,52.0,848.3570593469949,True,25.0,20.0,-2.4,2.4,0.02053,0.0006090182197602959,260.0,0.0,40.0
CMS13_dQ_170to350.11,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,52.0,160.0,857.7390879207583,True,25.0,20.0,-2.4,2.4,0.00437,0.00021661274962476236,260.0,0.0,106.0
CMS13_dQ_170to350.12,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,160.0,1000.0,809.3417446547217,True,25.0,20.0,-2.4,2.4,0.0001019,5.469477160570285e-06,260.0,0.0,580.0
