# name: CMS13_dQ_50to76
# comment: CMS 13TeV 2021 preliminary
# reference: CMS-PAS-SMP-20-003
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.012
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg
CMS13_dQ_50to76.0,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,0.0,2.0,124.67714687977907,True,25.0,20.0,-2.4,2.4,0.733,0.014382498565965511,63.0,0.0,1.0
CMS13_dQ_50to76.1,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,2.0,4.0,128.00267427125632,True,25.0,20.0,-2.4,2.4,1.678,0.02471848352953716,63.0,0.0,3.0
CMS13_dQ_50to76.2,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,4.0,6.0,134.2304314456469,True,25.0,20.0,-2.4,2.4,1.838,0.027075430707562163,63.0,0.0,5.0
CMS13_dQ_50to76.3,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,6.0,8.0,142.3786797601508,True,25.0,20.0,-2.4,2.4,1.7,0.0250425637665156,63.0,0.0,7.0
CMS13_dQ_50to76.4,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,8.0,10.0,154.2195183113991,True,25.0,20.0,-2.4,2.4,1.512,0.024192,63.0,0.0,9.0
CMS13_dQ_50to76.5,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,10.0,12.0,169.4575657887769,True,25.0,20.0,-2.4,2.4,1.323,0.021168,63.0,0.0,11.0
CMS13_dQ_50to76.6,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,12.0,14.0,188.44615200281038,True,25.0,20.0,-2.4,2.4,1.182,0.018912,63.0,0.0,13.0
CMS13_dQ_50to76.7,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,14.0,18.0,215.10484120333234,True,25.0,20.0,-2.4,2.4,0.995,0.014657265263342954,63.0,0.0,16.0
CMS13_dQ_50to76.8,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,18.0,22.0,242.2892748730471,True,25.0,20.0,-2.4,2.4,0.752,0.012032000000000001,63.0,0.0,20.0
CMS13_dQ_50to76.9,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,22.0,28.0,241.53320634518573,True,25.0,20.0,-2.4,2.4,0.4984,0.007974400000000001,63.0,0.0,25.0
CMS13_dQ_50to76.10,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,28.0,37.0,210.6545492588488,True,25.0,20.0,-2.4,2.4,0.264,0.004224,63.0,0.0,32.5
CMS13_dQ_50to76.11,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,37.0,52.0,182.19751577191042,True,25.0,20.0,-2.4,2.4,0.1248,0.002150764254863838,63.0,0.0,44.5
CMS13_dQ_50to76.12,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,52.0,85.0,171.56930539341857,True,25.0,20.0,-2.4,2.4,0.0459,0.0010066655899552742,63.0,0.0,68.5
CMS13_dQ_50to76.13,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,85.0,160.0,148.55548007953146,True,25.0,20.0,-2.4,2.4,0.0088,0.00024195999669366839,63.0,0.0,122.5
CMS13_dQ_50to76.14,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,160.0,250.0,151.81423854065255,True,25.0,20.0,-2.4,2.4,0.001109,6.179628229108932e-05,63.0,0.0,205.0
CMS13_dQ_50to76.15,1,1,1,3,169000000.0,50.0,76.0,-2.4,2.4,250.0,1000.0,137.33905579399143,True,25.0,20.0,-2.4,2.4,3.33e-05,3.3059370592919645e-06,63.0,0.0,625.0
