# name: A8-08y12
# comment: ATLAS 8TeV 0.8<|y|<1.2
# reference: arXiv:1512.02192
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.028
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,y_avg,qT_avg
A8-08y12.0,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,0.0,2.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,3.122,0.012487999999999999,0.0062439999999999996,0.028097999999999998,1.0,1.0
A8-08y12.1,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,2.0,4.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,6.462,0.012924,0.006462,0.045233999999999996,1.0,3.0
A8-08y12.2,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,4.0,6.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,6.548,0.013096,0.006548,0.039288,1.0,5.0
A8-08y12.3,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,6.0,8.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,5.647,0.016940999999999998,0.005647,0.033881999999999995,1.0,7.0
A8-08y12.4,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,8.0,10.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,4.716,0.014147999999999999,0.004716000000000001,0.028295999999999998,1.0,9.0
A8-08y12.5,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,10.0,13.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,3.735,0.011205,0.0037350000000000005,0.02241,1.0,11.5
A8-08y12.6,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,13.0,16.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,2.901,0.008702999999999999,0.002901,0.017405999999999998,1.0,14.5
A8-08y12.7,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,16.0,20.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,2.173,0.006519,0.002173,0.013038,1.0,18.0
A8-08y12.8,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,20.0,25.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,1.56,0.00468,0.0015600000000000002,0.00936,1.0,22.5
A8-08y12.9,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,25.0,30.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,1.116,0.0033480000000000003,0.0011160000000000002,0.0066960000000000006,1.0,27.5
A8-08y12.10,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,30.0,37.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.7797,0.0023390999999999998,0.0007796999999999999,0.0046781999999999995,1.0,33.5
A8-08y12.11,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,37.0,45.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.5231,0.0020924000000000003,0.0005231000000000001,0.0036617,1.0,41.0
A8-08y12.12,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,45.0,55.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.3386,0.0013544000000000002,0.0006772000000000001,0.0027088000000000004,1.0,50.0
A8-08y12.13,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,55.0,65.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.2199,0.0010995,0.0004398,0.0019791,1.0,60.0
A8-08y12.14,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,65.0,75.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.144,0.0008639999999999999,0.00043199999999999993,0.0012959999999999998,1.0,70.0
A8-08y12.15,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,75.0,85.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.09614,0.00067298,0.00028842,0.0008652600000000001,1.0,80.0
A8-08y12.16,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,85.0,105.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.0557,0.0003342,0.0001671,0.0004456,1.0,95.0
A8-08y12.17,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,105.0,150.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.02111,0.00012666,6.333e-05,0.00016888000000000002,1.0,127.5
A8-08y12.18,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,150.0,200.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.005979,7.1748e-05,2.3916000000000003e-05,5.979e-05,1.0,175.0
A8-08y12.19,1,1,1,3,64000000.0,66.0,116.0,91.0,0.8,1.2,200.0,900.0,39.99999999999999,True,20.0,20.0,-2.4,2.4,0.000238,3.57e-06,1.19e-06,2.618e-06,1.0,550.0
