# name: LHCb13_dy
# comment: LHCb 13TeV 2021 update y-differential
# reference: arXiv:2112.07458
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.02
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,y_avg,qT_avg
LHCb13_dy.0,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,1.303,0.02,0.054,2.25,1.1
LHCb13_dy.1,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,2.56,0.04,0.14,2.25,2.8
LHCb13_dy.2,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,2.67,0.03,0.06,2.25,4.0
LHCb13_dy.3,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,2.47,0.03,0.04,2.25,5.199999999999999
LHCb13_dy.4,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,2.34,0.03,0.03,2.25,6.5
LHCb13_dy.5,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,2.01,0.03,0.11,2.25,7.949999999999999
LHCb13_dy.6,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,1.821,0.022,0.048,2.25,9.6
LHCb13_dy.7,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,1.543,0.019,0.034,2.25,11.65
LHCb13_dy.8,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,1.29,0.016,0.037,2.25,14.100000000000001
LHCb13_dy.9,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,15.4,19.0,60.0,True,20.0,20.0,2.0,4.5,1.001,0.011,0.024,2.25,17.2
LHCb13_dy.10,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,19.0,24.5,60.0,True,20.0,20.0,2.0,4.5,0.77,0.008,0.012,2.25,21.75
LHCb13_dy.11,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,24.5,34.0,60.0,True,20.0,20.0,2.0,4.5,0.505,0.005,0.007,2.25,29.25
LHCb13_dy.12,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,34.0,63.0,60.0,True,20.0,20.0,2.0,4.5,0.225,0.002,0.003,2.25,48.5
LHCb13_dy.13,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,63.0,270.0,60.0,True,20.0,20.0,2.0,4.5,0.0166,0.0002,0.0003,2.25,166.5
LHCb13_dy.14,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,3.66,0.03,0.33,2.75,1.1
LHCb13_dy.15,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,6.69,0.06,0.22,2.75,2.8
LHCb13_dy.16,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,6.77,0.05,0.12,2.75,4.0
LHCb13_dy.17,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,6.67,0.05,0.09,2.75,5.199999999999999
LHCb13_dy.18,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,6.01,0.05,0.09,2.75,6.5
LHCb13_dy.19,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,5.46,0.04,0.08,2.75,7.949999999999999
LHCb13_dy.20,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,4.85,0.04,0.08,2.75,9.6
LHCb13_dy.21,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,3.96,0.03,0.08,2.75,11.65
LHCb13_dy.22,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,3.21,0.03,0.04,2.75,14.100000000000001
LHCb13_dy.23,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,15.4,19.0,60.0,True,20.0,20.0,2.0,4.5,2.57,0.02,0.03,2.75,17.2
LHCb13_dy.24,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,19.0,24.5,60.0,True,20.0,20.0,2.0,4.5,1.879,0.013,0.021,2.75,21.75
LHCb13_dy.25,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,24.5,34.0,60.0,True,20.0,20.0,2.0,4.5,1.186,0.008,0.013,2.75,29.25
LHCb13_dy.26,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,34.0,63.0,60.0,True,20.0,20.0,2.0,4.5,0.477,0.003,0.005,2.75,48.5
LHCb13_dy.27,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,63.0,270.0,60.0,True,20.0,20.0,2.0,4.5,0.0289,0.0003,0.0002,2.75,166.5
LHCb13_dy.28,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,4.4,0.04,0.26,3.25,1.1
