# name: A7-00y10
# comment: ATLAS 7TeV 0.0<|y|<1.0
# reference: arXiv:1406.3660
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,y_avg,qT_avg
A7-00y10.0,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,0.0,2.0,100.0,True,20.0,20.0,-2.4,2.4,0.02861,0.000105857,9.727400000000002e-05,0.000102996,0.5,1.0
A7-00y10.1,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,2.0,4.0,100.0,True,20.0,20.0,-2.4,2.4,0.05874,0.000135102,0.000182094,0.000199716,0.5,3.0
A7-00y10.2,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,4.0,6.0,100.0,True,20.0,20.0,-2.4,2.4,0.05834,0.000134182,0.000134182,0.00020418999999999998,0.5,5.0
A7-00y10.3,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,6.0,8.0,100.0,True,20.0,20.0,-2.4,2.4,0.04972,0.00012927200000000002,0.00010938400000000001,0.00016904800000000004,0.5,7.0
A7-00y10.4,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,8.0,10.0,100.0,True,20.0,20.0,-2.4,2.4,0.04106,0.00011496800000000001,9.8544e-05,0.00013960400000000001,0.5,9.0
A7-00y10.5,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,10.0,12.0,100.0,True,20.0,20.0,-2.4,2.4,0.03385,0.000104935,8.801e-05,0.00011847499999999999,0.5,11.0
A7-00y10.6,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,12.0,14.0,100.0,True,20.0,20.0,-2.4,2.4,0.02819,9.8665e-05,7.611300000000001e-05,9.584600000000002e-05,0.5,13.0
A7-00y10.7,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,14.0,16.0,100.0,True,20.0,20.0,-2.4,2.4,0.02375,8.7875e-05,6.4125e-05,8.3125e-05,0.5,15.0
A7-00y10.8,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,16.0,18.0,100.0,True,20.0,20.0,-2.4,2.4,0.01997,8.3874e-05,5.7913000000000006e-05,6.989500000000001e-05,0.5,17.0
A7-00y10.9,1,1,1,3,49000000.0,66.0,116.0,91.0,0.0,1.0,18.0,22.0,100.0,True,20.0,20.0,-2.4,2.4,0.01587,5.554499999999999e-05,4.2848999999999996e-05,5.3958e-05,0.5,20.0
