# name: CDF2
# comment: CDF run2
# reference: arXiv:1207.7138
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.058
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,corrErr_0,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
CDF2.33,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,16.5,17.0,1000.0,False,4.149,0.165,0.042,0.0,16.75,0.0,0.0,-100.0,100.0
CDF2.34,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,17.0,17.5,1000.0,False,4.346,0.179,0.044,0.0,17.25,0.0,0.0,-100.0,100.0
CDF2.35,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,17.5,18.0,1000.0,False,3.931,0.166,0.04,0.0,17.75,0.0,0.0,-100.0,100.0
CDF2.36,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,18.0,18.5,1000.0,False,3.757,0.163,0.038,0.0,18.25,0.0,0.0,-100.0,100.0
CDF2.37,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,18.5,19.0,1000.0,False,3.753,0.167,0.038,0.0,18.75,0.0,0.0,-100.0,100.0
CDF2.38,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,19.0,19.5,1000.0,False,3.586,0.163,0.036,0.0,19.25,0.0,0.0,-100.0,100.0
CDF2.39,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,19.5,20.0,1000.0,False,3.303,0.154,0.034,0.0,19.75,0.0,0.0,-100.0,100.0
CDF2.40,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,20.0,20.5,1000.0,False,2.952,0.142,0.03,0.0,20.25,0.0,0.0,-100.0,100.0
CDF2.41,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,20.5,21.0,1000.0,False,2.923,0.143,0.03,0.0,20.75,0.0,0.0,-100.0,100.0
CDF2.42,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,21.0,21.5,1000.0,False,2.877,0.144,0.03,0.0,21.25,0.0,0.0,-100.0,100.0
CDF2.43,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,21.5,22.0,1000.0,False,2.603,0.134,0.027,0.0,21.75,0.0,0.0,-100.0,100.0
CDF2.44,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,22.0,22.5,1000.0,False,2.624,0.139,0.027,0.0,22.25,0.0,0.0,-100.0,100.0
CDF2.45,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,22.5,23.0,1000.0,False,2.59,0.14,0.026,0.0,22.75,0.0,0.0,-100.0,100.0
CDF2.46,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,23.0,23.5,1000.0,False,2.516,0.139,0.026,0.0,23.25,0.0,0.0,-100.0,100.0
CDF2.47,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,23.5,24.0,1000.0,False,2.2,0.124,0.022,0.0,23.75,0.0,0.0,-100.0,100.0
CDF2.48,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,24.0,24.5,1000.0,False,1.948,0.113,0.02,0.0,24.25,0.0,0.0,-100.0,100.0
CDF2.49,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,24.5,25.0,1000.0,False,2.179,0.129,0.022,0.0,24.75,0.0,0.0,-100.0,100.0
CDF2.50,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,25.0,26.0,1000.0,False,2.032,0.085,0.021,0.0,25.5,0.0,0.0,-100.0,100.0
CDF2.51,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,26.0,27.0,1000.0,False,1.736,0.076,0.018,0.0,26.5,0.0,0.0,-100.0,100.0
CDF2.52,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,27.0,28.0,1000.0,False,1.633,0.075,0.016,0.0,27.5,0.0,0.0,-100.0,100.0
CDF2.53,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,28.0,29.0,1000.0,False,1.616,0.077,0.016,0.0,28.5,0.0,0.0,-100.0,100.0
CDF2.54,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,29.0,30.0,1000.0,False,1.381,0.069,0.014,0.0,29.5,0.0,0.0,-100.0,100.0
CDF2.55,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,30.0,32.0,1000.0,False,1.284,0.045,0.013,0.0,31.0,0.0,0.0,-100.0,100.0
CDF2.56,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,32.0,34.0,1000.0,False,1.005,0.039,0.01,0.0,33.0,0.0,0.0,-100.0,100.0
CDF2.57,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,34.0,36.0,1000.0,False,0.8769,0.0361,0.0088,0.0,35.0,0.0,0.0,-100.0,100.0
CDF2.58,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,36.0,38.0,1000.0,False,0.7959,0.0352,0.0079,0.0,37.0,0.0,0.0,-100.0,100.0
CDF2.59,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,38.0,40.0,1000.0,False,0.7068,0.0336,0.007,0.0,39.0,0.0,0.0,-100.0,100.0
CDF2.60,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,40.0,44.0,1000.0,False,0.5605,0.0193,0.0055,0.0,42.0,0.0,0.0,-100.0,100.0
CDF2.61,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,44.0,48.0,1000.0,False,0.46,0.0179,0.0044,0.0,46.0,0.0,0.0,-100.0,100.0
CDF2.62,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,48.0,52.0,1000.0,False,0.3552,0.0156,0.0033,0.0,50.0,0.0,0.0,-100.0,100.0
CDF2.63,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,52.0,56.0,1000.0,False,0.276,0.0136,0.0025,0.0,54.0,0.0,0.0,-100.0,100.0
CDF2.64,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,56.0,60.0,1000.0,False,0.2311,0.0128,0.002,0.0,58.0,0.0,0.0,-100.0,100.0
CDF2.65,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,60.0,65.0,1000.0,False,0.1618,0.0089,0.0014,0.0,62.5,0.0,0.0,-100.0,100.0
