# name: A7-10y20
# comment: ATLAS 7TeV 1.0<|y|<2.0
# reference: arXiv:1406.3660
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,y_avg,qT_avg
A7-10y20.0,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,0.0,2.0,100.0,True,20.0,20.0,-2.4,2.4,0.02781,0.00011680200000000001,0.00013348800000000002,0.00010289700000000001,1.5,1.0
A7-10y20.1,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,2.0,4.0,100.0,True,20.0,20.0,-2.4,2.4,0.05802,0.000150852,0.000226278,0.00020307,1.5,3.0
A7-10y20.2,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,4.0,6.0,100.0,True,20.0,20.0,-2.4,2.4,0.05782,0.00014455000000000002,0.00015611400000000003,0.00022549800000000003,1.5,5.0
A7-10y20.3,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,6.0,8.0,100.0,True,20.0,20.0,-2.4,2.4,0.04868,0.00013630400000000001,0.00013143600000000002,0.00018498400000000002,1.5,7.0
A7-10y20.4,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,8.0,10.0,100.0,True,20.0,20.0,-2.4,2.4,0.04047,0.000125457,0.00012140999999999999,0.000137598,1.5,9.0
A7-10y20.5,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,10.0,12.0,100.0,True,20.0,20.0,-2.4,2.4,0.03381,0.000114954,0.000108192,0.000114954,1.5,11.0
A7-10y20.6,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,12.0,14.0,100.0,True,20.0,20.0,-2.4,2.4,0.02823,0.00010727400000000002,9.033600000000001e-05,9.8805e-05,1.5,13.0
A7-10y20.7,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,14.0,16.0,100.0,True,20.0,20.0,-2.4,2.4,0.02385,9.54e-05,7.632e-05,8.109000000000001e-05,1.5,15.0
A7-10y20.8,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,16.0,18.0,100.0,True,20.0,20.0,-2.4,2.4,0.02034,8.949600000000001e-05,7.119e-05,7.119e-05,1.5,17.0
A7-10y20.9,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,18.0,22.0,100.0,True,20.0,20.0,-2.4,2.4,0.01606,6.2634e-05,5.1392e-05,5.621e-05,1.5,20.0
A7-10y20.10,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,22.0,26.0,100.0,True,20.0,20.0,-2.4,2.4,0.01217,5.7199e-05,4.3812e-05,4.3812e-05,1.5,24.0
A7-10y20.11,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,26.0,30.0,100.0,True,20.0,20.0,-2.4,2.4,0.009275,4.8230000000000004e-05,3.80275e-05,3.2462499999999996e-05,1.5,28.0
A7-10y20.12,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,30.0,34.0,100.0,True,20.0,20.0,-2.4,2.4,0.007339,4.3300099999999996e-05,3.37594e-05,2.56865e-05,1.5,32.0
A7-10y20.13,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,34.0,38.0,100.0,True,20.0,20.0,-2.4,2.4,0.00588,3.8808e-05,2.8811999999999998e-05,2.058e-05,1.5,36.0
A7-10y20.14,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,38.0,42.0,100.0,True,20.0,20.0,-2.4,2.4,0.004709,3.48466e-05,2.4015899999999998e-05,1.6481499999999998e-05,1.5,40.0
A7-10y20.15,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,42.0,46.0,100.0,True,20.0,20.0,-2.4,2.4,0.003745,3.0709e-05,2.13465e-05,1.4231000000000001e-05,1.5,44.0
A7-10y20.16,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,46.0,50.0,100.0,True,20.0,20.0,-2.4,2.4,0.003156,2.71416e-05,1.95672e-05,1.16772e-05,1.5,48.0
A7-10y20.17,1,1,1,3,49000000.0,66.0,116.0,91.0,1.0,2.0,50.0,54.0,100.0,True,20.0,20.0,-2.4,2.4,0.002568,2.5423199999999997e-05,1.72056e-05,9.244799999999998e-06,1.5,52.0
