# name: E143-1995.p
# comment: Taken from tables 1,2, 3. Bin in Q guessed by us.
# reference: 10.17182/hepdata.19584.v1
# processType: G2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2
E143-1995.p.0,1,1,100,55.471444,1.1221109984221642,1.3192001247245764,1.2206555615733703,0.029,0.047,0.038,1.0,0.06277322623559439,0.981,0.287,0.04049465909848857
E143-1995.p.1,1,1,100,55.471444,1.3192001247245764,1.5150981187677464,1.4177446878757824,0.047,0.075,0.06,1.0,0.12844179870857303,0.374,0.128,0.03851845742667934
E143-1995.p.2,1,1,100,55.471444,1.5150981187677464,1.702049418188301,1.61245154965971,0.075,0.12,0.095,1.0,-0.34403095897796343,0.203,0.073,0.03667649016714897
E143-1995.p.3,1,1,100,55.471444,1.702049418188301,1.866648035305826,1.7916472867168918,0.12,0.193,0.152,1.0,-0.09541753082270027,0.125,0.048,0.018150038082174993
E143-1995.p.4,1,1,100,55.471444,1.866648035305826,1.9967386183815394,1.9416487838947598,0.193,0.31,0.242,1.0,0.08142427491645392,0.079,0.025,0.0068173504352987005
E143-1995.p.5,1,1,100,55.471444,1.9967386183815394,2.0924506768192366,2.0518284528683193,0.31,0.498,0.379,1.0,0.06628005286371932,0.048,0.009,0.006182384325386544
E143-1995.p.6,1,1,100,55.471444,2.0924506768192366,2.173695124721072,2.1330729007701543,0.498,0.799,0.595,1.0,-0.003811354812254329,0.02,0.003,0.0031069638996442514
E143-1995.p.7,1,1,100,55.471444,1.7939330739693995,2.0842108119636635,1.9390719429665315,0.075,0.12,0.1,1.0,-0.017661290643331384,0.367,0.097,0.03738243297971619
E143-1995.p.8,1,1,100,55.471444,2.0842108119636635,2.375626861772247,2.2293496809607953,0.12,0.193,0.154,1.0,0.22759199415937714,0.141,0.047,0.018310973462821022
E143-1995.p.9,1,1,100,55.471444,2.375626861772247,2.6528931119993544,2.5219040425836985,0.193,0.31,0.243,1.0,0.06601262658152132,0.07,0.02,0.006678269823453489
E143-1995.p.10,1,1,100,55.471444,2.6528931119993544,2.879388568771857,2.7838821814150108,0.31,0.498,0.382,1.0,0.06911064649277524,0.034,0.006,0.005682442057248909
E143-1995.p.11,1,1,100,55.471444,2.879388568771857,3.0704013434855497,2.9748949561287032,0.498,0.799,0.585,1.0,0.00890522517963828,0.011,0.001,0.0026659428112003813
