# name: E143-1995.d
# comment: Taken from tables 1,2, 3. Bin in Q guessed by us.
# reference: 10.17182/hepdata.19584.v1
# processType: G2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2
E143-1995.d.0,1,1,102,55.50148225,1.1221109984221642,1.3192001247245764,1.2206555615733703,0.029,0.047,0.038,1.0,3.230762774259883,2.158,0.376,0.041765985637870706
E143-1995.d.1,1,1,102,55.50148225,1.3192001247245764,1.5150981187677464,1.4177446878757824,0.047,0.075,0.06,1.0,-0.8108069991876378,0.708,0.153,0.036330521427143034
E143-1995.d.2,1,1,102,55.50148225,1.5150981187677464,1.702049418188301,1.61245154965971,0.075,0.12,0.095,1.0,-0.07499530242164396,0.391,0.117,0.036049774155157525
E143-1995.d.3,1,1,102,55.50148225,1.702049418188301,1.866648035305826,1.7916472867168918,0.12,0.193,0.152,1.0,-0.12354390209414227,0.244,0.079,0.01757658794679729
E143-1995.d.4,1,1,102,55.50148225,1.866648035305826,1.997956321156087,1.9416487838947598,0.193,0.31,0.242,1.0,0.17591329281380944,0.154,0.04,0.006518125019069676
E143-1995.d.5,1,1,102,55.50148225,1.997956321156087,2.093668379593784,2.0542638584174138,0.31,0.498,0.379,1.0,-0.0721085760266558,0.094,0.01,0.0035890961001407108
E143-1995.d.6,1,1,102,55.50148225,2.093668379593784,2.1724774219465246,2.1330729007701543,0.498,0.799,0.594,1.0,0.055105428387116615,0.039,0.003,0.0023723392903318677
E143-1995.d.7,1,1,102,55.50148225,1.7939330739693995,2.0842108119636635,1.9390719429665315,0.075,0.12,0.1,1.0,0.09764036201491058,0.622,0.126,0.03690994448953858
E143-1995.d.8,1,1,102,55.50148225,2.0842108119636635,2.375626861772247,2.2293496809607953,0.12,0.193,0.154,1.0,-0.10465994048131935,0.236,0.073,0.01787391311667329
E143-1995.d.9,1,1,102,55.50148225,2.375626861772247,2.6528931119993544,2.5219040425836985,0.193,0.31,0.242,1.0,-0.08249831780817367,0.117,0.038,0.00673680600914737
E143-1995.d.10,1,1,102,55.50148225,2.6528931119993544,2.878547965439356,2.7838821814150108,0.31,0.498,0.382,1.0,0.010043765649941166,0.056,0.01,0.00322761817827413
E143-1995.d.11,1,1,102,55.50148225,2.878547965439356,3.067879533488046,2.973213749463701,0.498,0.799,0.584,1.0,0.016825576900136918,0.018,0.002,0.002005708428183315
