# name: HallA-2016-4.He3
# comment: E=4.74 GeV. Taken from table VIII in paper. Bin in Q guessed by us.
# reference: 1603.03612v3
# processType: G2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2
HallA-2016-4.He3.0,1,1,101,9.783441,1.3709885490986942,1.4841821988601733,1.4275853739794337,0.253,0.30100000000000005,0.277,1.0,-0.03841797235474939,0.034,0.009,0.009172767792712951
HallA-2016-4.He3.1,1,1,101,9.783441,1.4841821988601733,1.582639473397079,1.5407790237409127,0.30100000000000005,0.34950000000000003,0.325,1.0,-0.023544736282777822,0.014,0.006,0.007834170730964485
HallA-2016-4.He3.2,1,1,101,9.783441,1.582639473397079,1.6659185154748162,1.6244999230532453,0.34950000000000003,0.399,0.374,1.0,-0.0412828050325472,0.009,0.005,0.0068210867664907845
HallA-2016-4.He3.3,1,1,101,9.783441,1.6659185154748162,1.7447353303460122,1.7073371078963873,0.399,0.4485,0.424,1.0,-0.008774457024379088,0.006,0.002,0.006123344903880418
HallA-2016-4.He3.4,1,1,101,9.783441,1.7447353303460122,1.816404552563906,1.7821335527956372,0.4485,0.498,0.473,1.0,-0.007920308081893791,0.004,0.001,0.005752736082962285
HallA-2016-4.He3.5,1,1,101,9.783441,1.816404552563906,1.8821554181439097,1.8506755523321747,0.498,0.5485,0.523,1.0,-0.006915711133720717,0.004,0.001,0.003563246062535863
HallA-2016-4.He3.6,1,1,101,9.783441,1.8821554181439097,1.94246463761064,1.9136352839556445,0.5485,0.5985,0.574,1.0,-0.004810485828375985,0.003,0.001,0.0025369088752027853
HallA-2016-4.He3.7,1,1,101,9.783441,1.94246463761064,1.9867713635312323,1.9712939912656358,0.5985,0.648,0.623,1.0,0.00016419128581994088,0.002,0.001,0.0035762701471131276
HallA-2016-4.He3.8,1,1,101,9.783441,1.9867713635312323,2.0387900173250495,2.002248735796829,0.648,0.698,0.673,1.0,-0.002048214371703208,0.002,0.001,0.002636157106836896
HallA-2016-4.He3.9,1,1,101,9.783441,2.0387900173250495,2.0987971210172196,2.07533129885327,0.698,0.748,0.723,1.0,-0.0036716231742154487,0.002,0.001,0.002188772774194283
HallA-2016-4.He3.10,1,1,101,9.783441,2.0987971210172196,2.144413521658802,2.1222629431811693,0.748,0.798,0.773,1.0,-0.002999572409379551,0.001,0.001,0.002235385885880449
HallA-2016-4.He3.11,1,1,101,9.783441,2.144413521658802,2.1873653802566593,2.166564100136435,0.798,0.8485,0.823,1.0,-1.4109801199613595e-05,0.001,0.0,0.0019374871245308384
HallA-2016-4.He3.12,1,1,101,9.783441,2.1873653802566593,2.228967940497108,2.2081666603768837,0.8485,0.8995,0.874,1.0,-0.0029104021931775975,0.001,0.001,0.001771626389890034
