# name: HallA-2004.n
# comment: Taken from table 6. Bin in Q guessed by us.
# reference: nucl-ex/0405006v5
# processType: G2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2
HallA-2004.n.0,1,1,101,11.586321,1.5312284930084634,1.7611870336224023,1.6462077633154328,0.26,0.4,0.33,1.0,-0.003854141853830399,0.043,0.003,0.008068081713611975
HallA-2004.n.1,1,1,101,11.586321,1.7611870336224023,2.0369462007564816,1.876166303929372,0.4,0.5349999999999999,0.47,1.0,0.02557584948123013,0.013,0.003,0.005907660189228026
HallA-2004.n.2,1,1,101,11.586321,2.0369462007564816,2.358505994410701,2.1977260975835913,0.5349999999999999,0.665,0.6,1.0,-0.0064535018885560486,0.009,0.001,0.0030932254874332776
