# name: E143.n
# comment: g2bar data taken from page 87 in the paper. Bin in Q guessed by us. Additional normalization uncertainty 4.9%. The E143 experiment is the only one which presents g2-bar, therefore the uncertainties are solely the stat+syst of said g2-bar, unlike the rest of the experimental tables
# reference: hep-ph/9802357
# processType: G2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1
E143.n.0,1,1,101,55.531521,1.1221109984221642,1.3192001247245764,1.2206555615733703,0.029,0.047,0.038,1.0,6.963,4.787,1.288
E143.n.1,1,1,101,55.531521,1.3192001247245764,1.5150981187677464,1.4177446878757824,0.047,0.075,0.06,1.0,-1.948,1.579,0.367
E143.n.2,1,1,101,55.531521,1.5150981187677464,1.702049418188301,1.61245154965971,0.075,0.12,0.095,1.0,0.192,0.872,0.266
E143.n.3,1,1,101,55.531521,1.702049418188301,1.866648035305826,1.7916472867168918,0.12,0.193,0.152,1.0,-0.079,0.545,0.18
E143.n.4,1,1,101,55.531521,1.866648035305826,1.997956321156087,1.9416487838947598,0.193,0.31,0.241,1.0,0.263,0.347,0.093
E143.n.5,1,1,101,55.531521,1.997956321156087,2.0948397544118382,2.0542638584174138,0.31,0.498,0.378,1.0,-0.256,0.214,0.024
E143.n.6,1,1,101,55.531521,2.0948397544118382,2.1759915464006863,2.1354156504062622,0.498,0.799,0.595,1.0,0.064,0.091,0.01
E143.n.7,1,1,101,55.531521,1.7977983353617422,2.0854992324277775,1.9416487838947598,0.075,0.12,0.101,1.0,0.184,1.399,0.312
E143.n.8,1,1,101,55.531521,2.0854992324277775,2.376617786892794,2.2293496809607953,0.12,0.193,0.154,1.0,-0.384,0.533,0.172
E143.n.9,1,1,101,55.531521,2.376617786892794,2.654781774130808,2.5238858928247927,0.193,0.31,0.242,1.0,-0.276,0.265,0.091
E143.n.10,1,1,101,55.531521,2.654781774130808,2.8811264343321334,2.7856776554368237,0.31,0.498,0.381,1.0,-0.057,0.128,0.025
E143.n.11,1,1,101,55.531521,2.8811264343321334,3.072023992122753,2.9765752132274432,0.498,0.799,0.584,1.0,0.023,0.042,0.006
