# name: compass08.sivers.pi+.dz
# comment: COMPASS SSA-Sivers pi+ (differential in z)
# reference: 0802.2160
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0
compass08.sivers.pi+.dz.0,1,12,1,12001,1,12,1,2001,301.03984399999996,1.0,16.436057921533376,1.8520259177452134,0.03,1.0,0.037,0.2,0.25,0.2237,0.1,10.0,0.43,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0113,0.0072
compass08.sivers.pi+.dz.1,1,12,1,12001,1,12,1,2001,301.03984399999996,1.0,16.436057921533376,1.835755975068582,0.03,1.0,0.039,0.25,0.3,0.2737,0.1,10.0,0.45,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.003,0.0086
compass08.sivers.pi+.dz.2,1,12,1,12001,1,12,1,2001,301.03984399999996,1.0,16.436057921533376,1.8248287590894658,0.03,1.0,0.041,0.3,0.35,0.3237,0.1,10.0,0.48,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0142,0.0101
compass08.sivers.pi+.dz.3,1,12,1,12001,1,12,1,2001,301.03984399999996,1.0,16.436057921533376,1.8110770276274832,0.03,1.0,0.042,0.35,0.4,0.3737,0.1,10.0,0.49,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0123,0.0119
compass08.sivers.pi+.dz.4,1,12,1,12001,1,12,1,2001,301.03984399999996,1.0,16.436057921533376,1.786057109949175,0.03,1.0,0.044,0.4,0.5,0.4448,0.1,10.0,0.52,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0044,0.0108
compass08.sivers.pi+.dz.5,1,12,1,12001,1,12,1,2001,301.03984399999996,1.0,16.436057921533376,1.740689518552921,0.03,1.0,0.046,0.5,0.65,0.5646,0.1,10.0,0.54,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,0.0157,0.0125
compass08.sivers.pi+.dz.6,1,12,1,12001,1,12,1,2001,301.03984399999996,1.0,16.436057921533376,1.6552945357246849,0.03,1.0,0.046,0.65,0.8,0.7164,0.1,10.0,0.54,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,0.0068,0.0178
compass08.sivers.pi+.dz.7,1,12,1,12001,1,12,1,2001,301.03984399999996,1.0,16.436057921533376,1.5491933384829668,0.03,1.0,0.045,0.8,1.0,0.8787,0.1,10.0,0.47,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0155,0.0238
