# name: compass08.sivers.pi-.dpt.leading
# comment: COMPASS SSA-Sivers pi- leading (differential in pt)
# reference: 0802.2160
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,z_min,z_max,pT_min,pT_max,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,x_avg,z_avg,pT_avg
compass08.sivers.pi-.dpt.leading.0,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.7088007490635062,0.03,1.0,0.25,1.0,0.1,0.2,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,0.0182,0.015,0.515,0.625,0.15000000000000002
compass08.sivers.pi-.dpt.leading.1,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.70293863659264,0.03,1.0,0.25,1.0,0.2,0.3,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0201,0.0123,0.515,0.625,0.25
compass08.sivers.pi-.dpt.leading.2,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.711724276862369,0.03,1.0,0.25,1.0,0.3,0.4,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0089,0.0117,0.515,0.625,0.35
compass08.sivers.pi-.dpt.leading.3,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.7320508075688772,0.03,1.0,0.25,1.0,0.4,0.5,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0126,0.0125,0.515,0.625,0.45
compass08.sivers.pi-.dpt.leading.4,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.752141546793523,0.03,1.0,0.25,1.0,0.5,0.6,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.008,0.0136,0.515,0.625,0.55
compass08.sivers.pi-.dpt.leading.5,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.7776388834631178,0.03,1.0,0.25,1.0,0.6,0.75,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0103,0.0134,0.515,0.625,0.675
compass08.sivers.pi-.dpt.leading.6,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.794435844492636,0.03,1.0,0.25,1.0,0.75,0.9,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,0.0081,0.018,0.515,0.625,0.825
compass08.sivers.pi-.dpt.leading.7,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.841195263952197,0.03,1.0,0.25,1.0,0.9,1.3,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0244,0.0183,0.515,0.625,1.1
compass08.sivers.pi-.dpt.leading.8,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.9519221295943134,0.03,1.0,0.25,1.0,1.3,10.0,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0506,0.039,0.515,0.625,5.65
