# name: compass08.sivers.pi-.dz
# comment: COMPASS SSA-Sivers pi- (differential in z)
# reference: 0802.2160
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,z_min,z_max,pT_min,pT_max,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,x_avg,z_avg,pT_avg
compass08.sivers.pi-.dz.0,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.8193405398660252,0.03,1.0,0.2,0.25,0.1,10.0,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0141,0.0073,0.515,0.225,5.05
compass08.sivers.pi-.dz.1,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.8027756377319946,0.03,1.0,0.25,0.3,0.1,10.0,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0123,0.0084,0.515,0.275,5.05
compass08.sivers.pi-.dz.2,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.786057109949175,0.03,1.0,0.3,0.35,0.1,10.0,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0044,0.0102,0.515,0.32499999999999996,5.05
compass08.sivers.pi-.dz.3,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.7691806012954132,0.03,1.0,0.35,0.4,0.1,10.0,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,0.0075,0.0118,0.515,0.375,5.05
compass08.sivers.pi-.dz.4,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.7378147196982767,0.03,1.0,0.4,0.5,0.1,10.0,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0247,0.0111,0.515,0.45,5.05
compass08.sivers.pi-.dz.5,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.676305461424021,0.03,1.0,0.5,0.65,0.1,10.0,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,0.0024,0.013,0.515,0.575,5.05
compass08.sivers.pi-.dz.6,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.5842979517754858,0.03,1.0,0.65,0.8,0.1,10.0,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,-0.0345,0.0191,0.515,0.7250000000000001,5.05
compass08.sivers.pi-.dz.7,1,12,-1,12001,1,12,-1,2001,301.03984399999996,1.0,16.436057921533376,1.4866068747318506,0.03,1.0,0.8,1.0,0.1,10.0,0.938,0.139,True,0.1,0.9,25.0,10000.0,1.0,0.0287,0.0247,0.515,0.9,5.05
