# name: hermes09.sivers.k-.Qint.dx
# comment: HERMES SSA-Sivers k- (integrated in Q, differential in x). The data MUST be evaluated at a point
# reference: 0906.3918
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes09.sivers.k-.Qint.dx.0,1,1,-2,12001,1,1,-2,2001,52.657444,1.0,1.4877810322759193,1.1353413583587977,0.023,0.045,0.035,0.2,0.7,0.339,1e-05,2.0,0.507,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0053,0.0298,0.0189
hermes09.sivers.k-.Qint.dx.1,1,1,-2,12001,1,1,-2,2001,52.657444,1.0,1.8153909331050433,1.2907362240210043,0.045,0.067,0.055,0.2,0.7,0.358,1e-05,2.0,0.421,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0519,0.0263,0.0141
hermes09.sivers.k-.Qint.dx.2,1,1,-2,12001,1,1,-2,2001,52.657444,1.0,2.0567522748255316,1.4449913494550755,0.067,0.086,0.076,0.2,0.7,0.363,1e-05,2.0,0.381,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0316,0.0307,0.0092
hermes09.sivers.k-.Qint.dx.3,1,1,-2,12001,1,1,-2,2001,52.657444,1.0,2.357610094990264,1.6077935190813526,0.086,0.113,0.098,0.2,0.7,0.37,1e-05,2.0,0.366,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0294,0.029,0.004
hermes09.sivers.k-.Qint.dx.4,1,1,-2,12001,1,1,-2,2001,52.657444,1.0779001821624068,2.805386818248065,1.8371173070873836,0.113,0.16,0.133,0.2,0.7,0.37,1e-05,2.0,0.363,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0246,0.0281,0.0048
hermes09.sivers.k-.Qint.dx.5,1,1,-2,12001,1,1,-2,2001,52.657444,1.318018426058062,3.2896076361779074,2.133307291507719,0.16,0.22,0.186,0.2,0.7,0.369,1e-05,2.0,0.351,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0067,0.0367,0.0171
hermes09.sivers.k-.Qint.dx.6,1,1,-2,12001,1,1,-2,2001,52.657444,1.6038552591514275,4.435706031738352,2.5101792764661255,0.22,0.4,0.275,0.2,0.7,0.37,1e-05,2.0,0.364,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0086,0.0524,0.0378
