# name: hermes3D.sivers.pi-
# comment: HERMES SSA-Sivers pi- (3d-data). The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.sivers.pi-.0,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.2074767078498865,0.023,0.072,0.052,0.2,0.28,0.236,0.0,0.23,0.152,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.025607,0.029581,0.002632
hermes3D.sivers.pi-.1,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.2288205727444508,0.023,0.072,0.047,0.2,0.28,0.234,0.23,0.36,0.298,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.001914,0.022834,0.000555
hermes3D.sivers.pi-.2,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.2381437719424995,0.023,0.072,0.045,0.2,0.28,0.236,0.36,0.54,0.443,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.007848,0.014416,0.003905
hermes3D.sivers.pi-.3,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.2573782247199925,0.023,0.072,0.043,0.2,0.28,0.241,0.54,2.0,0.658,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.02369,0.018016,0.002459
hermes3D.sivers.pi-.4,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.1958260743101399,0.023,0.072,0.054,0.28,0.37,0.32,0.0,0.23,0.15,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.02057,0.034058,0.001019
hermes3D.sivers.pi-.5,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.2153188881935473,0.023,0.072,0.049,0.28,0.37,0.32,0.23,0.36,0.296,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.049923,0.043799,0.001526
hermes3D.sivers.pi-.6,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.2267844146385296,0.023,0.072,0.047,0.28,0.37,0.319,0.36,0.54,0.449,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.022111,0.022917,0.002446
hermes3D.sivers.pi-.7,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.2453915047084592,0.023,0.072,0.045,0.28,0.37,0.323,0.54,2.0,0.703,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.031783,0.01713,0.00215
hermes3D.sivers.pi-.8,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.182370500308596,0.023,0.072,0.055,0.37,0.49,0.422,0.0,0.23,0.152,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.062763,0.038357,0.00499
hermes3D.sivers.pi-.9,1,1,-1,12001,1,1,-1,2001,52.657444,1.0,1.881910688635356,1.202497401244593,0.023,0.072,0.051,0.37,0.49,0.423,0.23,0.36,0.298,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.064692,0.056068,0.002853
