# name: hermes09.sivers.k+.Qint.dz
# comment: HERMES SSA-Sivers k+ (integrated in Q, differential in z). The data MUST be evaluated at a point
# reference: 0906.3918
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes09.sivers.k+.Qint.dz.0,1,1,2,12001,1,1,2,2001,52.657444,1.0,4.435706031738352,1.5585249436566615,0.023,0.4,0.083,0.2,0.27,0.236,1e-05,2.0,0.354,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0235,0.0165,0.0063
hermes09.sivers.k+.Qint.dz.1,1,1,2,12001,1,1,2,2001,52.657444,1.0,4.435706031738352,1.5728954192825408,0.023,0.4,0.092,0.27,0.34,0.305,1e-05,2.0,0.385,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0454,0.0161,0.0076
hermes09.sivers.k+.Qint.dz.2,1,1,2,12001,1,1,2,2001,52.657444,1.0,4.435706031738352,1.5899685531481433,0.023,0.4,0.097,0.34,0.41,0.374,1e-05,2.0,0.415,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0773,0.0166,0.0088
hermes09.sivers.k+.Qint.dz.3,1,1,2,12001,1,1,2,2001,52.657444,1.0,4.435706031738352,1.587765725792064,0.023,0.4,0.099,0.41,0.49,0.448,1e-05,2.0,0.443,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0727,0.0178,0.0101
hermes09.sivers.k+.Qint.dz.4,1,1,2,12001,1,1,2,2001,52.657444,1.0,4.435706031738352,1.5846135175493108,0.023,0.4,0.102,0.49,0.56,0.524,1e-05,2.0,0.47,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.1358,0.0215,0.0115
hermes09.sivers.k+.Qint.dz.5,1,1,2,12001,1,1,2,2001,52.657444,1.0,4.435706031738352,1.5974980438172686,0.023,0.4,0.103,0.56,0.63,0.593,1e-05,2.0,0.497,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.0829,0.0255,0.0127
hermes09.sivers.k+.Qint.dz.6,1,1,2,12001,1,1,2,2001,52.657444,1.0,4.435706031738352,1.600624877977348,0.023,0.4,0.106,0.63,0.7,0.663,1e-05,2.0,0.512,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.1335,0.0296,0.014
