# name: hermes3D.sivers.k+
# comment: HERMES SSA-Sivers k+ (3d-data). The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.sivers.k+.0,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2149074038789953,0.023,0.072,0.052,0.2,0.28,0.239,0.0,0.23,0.149,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.020173,0.077765,0.004338
hermes3D.sivers.k+.1,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2393546707863734,0.023,0.072,0.048,0.2,0.28,0.237,0.23,0.36,0.297,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.047758,0.073821,0.007604
hermes3D.sivers.k+.2,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2461942063739504,0.023,0.072,0.046,0.2,0.28,0.239,0.36,0.54,0.444,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.089365,0.040048,0.010569
hermes3D.sivers.k+.3,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2621410380777578,0.023,0.072,0.043,0.2,0.28,0.242,0.54,2.0,0.67,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.037272,0.042297,0.009749
hermes3D.sivers.k+.4,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.1995832609702421,0.023,0.072,0.054,0.28,0.37,0.321,0.0,0.23,0.15,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.023743,0.080321,0.012536
hermes3D.sivers.k+.5,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2292273996295395,0.023,0.072,0.05,0.28,0.37,0.322,0.23,0.36,0.298,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.028066,0.098432,0.009943
hermes3D.sivers.k+.6,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2393546707863734,0.023,0.072,0.047,0.28,0.37,0.322,0.36,0.54,0.448,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.010559,0.060899,0.000569
hermes3D.sivers.k+.7,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2497999839974394,0.023,0.072,0.044,0.28,0.37,0.326,0.54,2.0,0.722,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.040061,0.038865,0.00587
hermes3D.sivers.k+.8,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.1949895397031725,0.023,0.072,0.055,0.37,0.49,0.422,0.0,0.23,0.148,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.027964,0.073263,0.005432
hermes3D.sivers.k+.9,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.213672113875902,0.023,0.072,0.052,0.37,0.49,0.424,0.23,0.36,0.297,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.04743,0.117034,0.007007
hermes3D.sivers.k+.10,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2300406497347964,0.023,0.072,0.05,0.37,0.49,0.424,0.36,0.54,0.449,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.000412,0.093341,0.017402
hermes3D.sivers.k+.11,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.247397290361014,0.023,0.072,0.046,0.37,0.49,0.428,0.54,2.0,0.763,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.126214,0.04483,0.005862
hermes3D.sivers.k+.12,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.192057045614848,0.023,0.072,0.057,0.49,0.7,0.572,0.0,0.23,0.15,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.096471,0.087044,0.021596
hermes3D.sivers.k+.13,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.1983321743156194,0.023,0.072,0.054,0.49,0.7,0.573,0.23,0.36,0.298,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.297615,0.118044,0.00749
hermes3D.sivers.k+.14,1,1,2,12001,1,1,2,2001,52.657444,1.0,1.881910688635356,1.2186057606953942,0.023,0.072,0.051,0.49,0.7,0.576,0.36,0.54,0.452,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.055865,0.120394,0.013257
