# name: compass16.sivers.h+.1<z.dx
# comment: COMPASS16 SSA-Sivers h+, z>0.1 (differential in x, joined across 4 Q-windows)
# reference: 1609.07374
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0
compass16.sivers.h+.1<z.dx.0,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.1269427669584644,0.003,0.008,0.006,0.1,1.0,0.24,0.1,10.0,0.5,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.007,0.006
compass16.sivers.h+.1<z.dx.1,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.2569805089976536,0.008,0.014,0.011,0.1,1.0,0.25,0.1,10.0,0.49,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.007,0.004
compass16.sivers.h+.1<z.dx.2,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.3564659966250536,0.014,0.022,0.018,0.1,1.0,0.25,0.1,10.0,0.47,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.009,0.004
compass16.sivers.h+.1<z.dx.3,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.3892443989449805,0.022,0.035,0.028,0.1,1.0,0.26,0.1,10.0,0.44,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.012,0.003
compass16.sivers.h+.1<z.dx.4,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.4966629547095767,0.035,0.055,0.043,0.1,1.0,0.27,0.1,10.0,0.43,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.017,0.004
compass16.sivers.h+.1<z.dx.5,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.70293863659264,0.055,0.105,0.07,0.1,1.0,0.28,0.1,10.0,0.41,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.027,0.005
compass16.sivers.h+.1<z.dx.6,1,1,12,12001,1,1,12,2001,301.03984399999996,1.0,2.0,1.9026297590440449,0.105,0.145,0.11,0.1,1.0,0.29,0.1,10.0,0.4,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.029,0.017
compass16.sivers.h+.1<z.dx.7,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.118962010041709,0.014,0.022,0.02,0.1,1.0,0.24,0.1,10.0,0.52,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,-0.004,0.022
compass16.sivers.h+.1<z.dx.8,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.2045407685048604,0.022,0.035,0.029,0.1,1.0,0.24,0.1,10.0,0.51,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.012,0.01
compass16.sivers.h+.1<z.dx.9,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.222611077089287,0.035,0.055,0.045,0.1,1.0,0.25,0.1,10.0,0.48,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.012,0.009
compass16.sivers.h+.1<z.dx.10,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.23159136044214,0.055,0.105,0.075,0.1,1.0,0.26,0.1,10.0,0.45,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.023,0.007
compass16.sivers.h+.1<z.dx.11,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.244994432064365,0.105,0.145,0.12,0.1,1.0,0.28,0.1,10.0,0.41,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.021,0.009
compass16.sivers.h+.1<z.dx.12,1,1,12,12001,1,1,12,2001,301.03984399999996,2.0,2.5,2.349468024894146,0.145,0.215,0.163,0.1,1.0,0.29,0.1,10.0,0.4,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.034,0.015
compass16.sivers.h+.1<z.dx.13,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,2.6645825188948455,0.022,0.035,0.031,0.1,1.0,0.24,0.1,10.0,0.53,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.004,0.026
compass16.sivers.h+.1<z.dx.14,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,2.8635642126552705,0.035,0.055,0.046,0.1,1.0,0.24,0.1,10.0,0.51,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.015,0.012
compass16.sivers.h+.1<z.dx.15,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,3.023243291566195,0.055,0.105,0.076,0.1,1.0,0.25,0.1,10.0,0.49,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.018,0.008
compass16.sivers.h+.1<z.dx.16,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,3.069201850644561,0.105,0.145,0.121,0.1,1.0,0.26,0.1,10.0,0.46,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.014,0.009
compass16.sivers.h+.1<z.dx.17,1,1,12,12001,1,1,12,2001,301.03984399999996,2.5,4.0,3.104834939252005,0.145,0.215,0.176,0.1,1.0,0.27,0.1,10.0,0.43,0.938,0.139,True,0.1,0.9,10.0,10000.0,1.0,0.032,0.008
