# name: hermes09.sivers.pi+.Qint.dz
# comment: HERMES SSA-Sivers pi+ (integrated in Q, differential in z). The data MUST be evaluated at a point
# reference: 0906.3918
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes09.sivers.pi+.Qint.dz.0,1,1,1,12001,1,1,1,2001,52.657444,1.0,4.435706031738352,1.5565988564816564,0.023,0.4,0.086,0.2,0.27,0.234,1e-05,2.0,0.346,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.0333,0.005,0.0034
hermes09.sivers.pi+.Qint.dz.1,1,1,1,12001,1,1,1,2001,52.657444,1.0,4.435706031738352,1.5582040944625963,0.023,0.4,0.094,0.27,0.34,0.303,1e-05,2.0,0.377,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.0365,0.0057,0.0052
hermes09.sivers.pi+.Qint.dz.2,1,1,1,12001,1,1,1,2001,52.657444,1.0,4.435706031738352,1.5572411502397436,0.023,0.4,0.097,0.34,0.41,0.373,1e-05,2.0,0.403,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.0348,0.0067,0.007
hermes09.sivers.pi+.Qint.dz.3,1,1,1,12001,1,1,1,2001,52.657444,1.0,4.435706031738352,1.554991961394013,0.023,0.4,0.099,0.41,0.49,0.447,1e-05,2.0,0.429,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.0463,0.0075,0.009
hermes09.sivers.pi+.Qint.dz.4,1,1,1,12001,1,1,1,2001,52.657444,1.0,4.435706031738352,1.5527395145355192,0.023,0.4,0.1,0.49,0.56,0.523,1e-05,2.0,0.453,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.0577,0.0096,0.011
hermes09.sivers.pi+.Qint.dz.5,1,1,1,12001,1,1,1,2001,52.657444,1.0,4.435706031738352,1.5491933384829668,0.023,0.4,0.101,0.56,0.63,0.593,1e-05,2.0,0.465,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.0623,0.0113,0.0128
hermes09.sivers.pi+.Qint.dz.6,1,1,1,12001,1,1,1,2001,52.657444,1.0,4.435706031738352,1.54434452114805,0.023,0.4,0.103,0.63,0.7,0.663,1e-05,2.0,0.465,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.0803,0.0132,0.0146
