# name: compass08.sivers.k-.dpt
# comment: COMPASS SSA-Sivers k- (differential in pt)
# reference: 0802.2160
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,z_min,z_max,pT_min,pT_max,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,x_avg,z_avg,pT_avg
compass08.sivers.k-.dpt.0,1,12,-2,12001,1,12,-2,2001,301.03984399999996,1.0,16.436057921533376,1.8083141320025125,0.03,1.0,0.2,1.0,0.1,0.2,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,-0.0453,0.0513,0.515,0.6,0.15000000000000002
compass08.sivers.k-.dpt.1,1,12,-2,12001,1,12,-2,2001,301.03984399999996,1.0,16.436057921533376,1.8083141320025125,0.03,1.0,0.2,1.0,0.2,0.3,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,-0.0098,0.0428,0.515,0.6,0.25
compass08.sivers.k-.dpt.2,1,12,-2,12001,1,12,-2,2001,301.03984399999996,1.0,16.436057921533376,1.8138357147217055,0.03,1.0,0.2,1.0,0.3,0.4,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,-0.0537,0.0426,0.515,0.6,0.35
compass08.sivers.k-.dpt.3,1,12,-2,12001,1,12,-2,2001,301.03984399999996,1.0,16.436057921533376,1.8275666882497066,0.03,1.0,0.2,1.0,0.4,0.5,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,0.0195,0.0407,0.515,0.6,0.45
compass08.sivers.k-.dpt.4,1,12,-2,12001,1,12,-2,2001,301.03984399999996,1.0,16.436057921533376,1.8303005217723127,0.03,1.0,0.2,1.0,0.5,0.6,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,0.0393,0.0402,0.515,0.6,0.55
compass08.sivers.k-.dpt.5,1,12,-2,12001,1,12,-2,2001,301.03984399999996,1.0,16.436057921533376,1.816590212458495,0.03,1.0,0.2,1.0,0.6,0.75,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,-0.0387,0.0345,0.515,0.6,0.675
compass08.sivers.k-.dpt.6,1,12,-2,12001,1,12,-2,2001,301.03984399999996,1.0,16.436057921533376,1.816590212458495,0.03,1.0,0.2,1.0,0.75,0.9,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,-0.0313,0.041,0.515,0.6,0.825
compass08.sivers.k-.dpt.7,1,12,-2,12001,1,12,-2,2001,301.03984399999996,1.0,16.436057921533376,1.8275666882497066,0.03,1.0,0.2,1.0,0.9,1.3,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,-0.0967,0.0376,0.515,0.6,1.1
compass08.sivers.k-.dpt.8,1,12,-2,12001,1,12,-2,2001,301.03984399999996,1.0,16.436057921533376,1.8708286933869707,0.03,1.0,0.2,1.0,1.3,10.0,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,-0.15,0.0644,0.515,0.6,5.65
