# name: compass08.sivers.k0.dx.leading
# comment: COMPASS SSA-Sivers k0 leading (differential in x)
# reference: 0802.2160
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0
compass08.sivers.k0.dx.leading.0,1,12,20,12001,1,12,20,2001,301.03984399999996,1.0,1.8739989327638369,1.1958260743101399,0.003,0.013,0.00906,0.25,1.0,0.4,0.1,10.0,0.583,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,-0.0206,0.0401
compass08.sivers.k0.dx.leading.1,1,12,20,12001,1,12,20,2001,301.03984399999996,1.0,2.9401714235738026,1.4247806848775006,0.013,0.032,0.0211,0.25,1.0,0.414,0.1,10.0,0.545,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,-0.0404,0.0329
compass08.sivers.k0.dx.leading.2,1,12,20,12001,1,12,20,2001,301.03984399999996,1.0,4.648819204916449,1.98997487421324,0.032,0.08,0.04859,0.25,1.0,0.434,0.1,10.0,0.512,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,0.0258,0.0415
compass08.sivers.k0.dx.leading.3,1,12,20,12001,1,12,20,2001,301.03984399999996,1.549606401638816,5.926104960258466,2.8618176042508368,0.08,0.13,0.10018,0.25,1.0,0.431,0.1,10.0,0.519,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,0.0088,0.0915
compass08.sivers.k0.dx.leading.4,1,12,20,12001,1,12,20,2001,301.03984399999996,1.9753683200861554,16.436057921533376,4.147288270665544,0.13,1.0,0.19292,0.25,1.0,0.431,0.1,10.0,0.551,0.938,0.494,True,0.1,0.9,25.0,10000.0,1.0,0.1336,0.122
