# name: hermes3D.d.pi-.no-vmsub
# comment: HERMES deutron-to-pi- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.d.pi-.no-vmsub.0,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1519976,0.0,0.15,0.1107234,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,3.734283,0.04706197,0.4503234,0.1125645080826806
hermes3D.d.pi-.no-vmsub.1,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1538399,0.15,0.25,0.2216789,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,7.590938,0.05935126,0.4724466,0.22881774141277653
hermes3D.d.pi-.no-vmsub.2,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1552639,0.25,0.35,0.3270037,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,8.305356,0.05732581,0.7383447,0.2503528288004792
hermes3D.d.pi-.no-vmsub.3,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1579656,0.35,0.45,0.4383999,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,6.633152,0.05668738,0.7481209,0.19994668104095192
hermes3D.d.pi-.no-vmsub.4,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1600849,0.45,0.6,0.577428,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,4.05885,0.04767398,0.4541563,0.12234810635171146
hermes3D.d.pi-.no-vmsub.5,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.165578,0.6,0.8,0.7804701,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,1.548736,0.04770512,0.1257154,0.04668438519253587
hermes3D.d.pi-.no-vmsub.6,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.170867,0.8,1.2,1.042909,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.319588,0.05241948,0.02586714,0.00963351358456971
hermes3D.d.pi-.no-vmsub.7,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2294398,0.0,0.15,0.1046564,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.564174,0.04517096,0.3454196,0.04714974115933872
hermes3D.d.pi-.no-vmsub.8,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2334364,0.15,0.25,0.213071,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,3.598019,0.06385918,0.4704496,0.1084570287809302
hermes3D.d.pi-.no-vmsub.9,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2338915,0.25,0.35,0.3151613,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,4.286387,0.06139236,0.3381814,0.1292068769579052
hermes3D.d.pi-.no-vmsub.10,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2369812,0.35,0.45,0.4228169,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,3.734109,0.05143162,0.2740225,0.11255926310676251
hermes3D.d.pi-.no-vmsub.11,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2389495,0.45,0.6,0.5544828,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,2.539761,0.03424913,0.1044101,0.07655738668241721
hermes3D.d.pi-.no-vmsub.12,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2429691,0.6,0.8,0.7408377,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.110393,0.0226336,0.0566984,0.03347117554385995
hermes3D.d.pi-.no-vmsub.13,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.25,0.3,0.2567773,0.8,1.2,1.062438,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.2129132,0.01325813,0.01106275,0.006417957509462832
hermes3D.d.pi-.no-vmsub.14,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.25,0.3,0.2779576,0.0,0.15,0.1028189,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.020249,0.03812465,0.2492964,0.030753916295804793
hermes3D.d.pi-.no-vmsub.15,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.25,0.3,0.2813551,0.15,0.25,0.2094052,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,2.288641,0.05236637,0.3949076,0.0689877409780818
