# name: compass.d.h+
# comment: COMPASS isoscalar h+. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1709.07374
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,x_min,x_max,z_min,z_max,pT_min,pT_max,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,Q_avg,x_avg,z_avg,pT_avg
compass.d.h+.47,1,12,12,2001,301.03984399999996,4.0,9.0,0.21,0.4,0.2,0.3,1.174734012447073,1.2328828005937953,0.938,0.139,0.00029937434854013825,True,0.1,0.9,25.0,10000.0,0.0312,0.0071,0.008798399999999998,0.00042004672371389435,6.5,0.305,0.25,1.2038084065204342
compass.d.h+.48,1,12,12,2001,301.03984399999996,4.0,9.0,0.21,0.4,0.2,0.3,1.2328828005937953,1.296148139681572,0.938,0.139,0.00028500193629893417,True,0.1,0.9,25.0,10000.0,0.0207,0.0057,0.00653085,0.0002786848455409491,6.5,0.305,0.25,1.2645154701376837
compass.d.h+.49,1,12,12,2001,301.03984399999996,4.0,9.0,0.21,0.4,0.2,0.3,1.296148139681572,1.3601470508735443,0.938,0.139,0.0002713473703906244,True,0.1,0.9,25.0,10000.0,0.0231,0.006,0.007502879999999999,0.00031099613198047946,6.5,0.305,0.25,1.328147595277558
compass.d.h+.50,1,12,12,2001,301.03984399999996,4.0,9.0,0.21,0.4,0.2,0.3,1.3601470508735443,1.4317821063276353,0.938,0.139,0.00025816511607370146,True,0.1,0.9,25.0,10000.0,0.0158,0.0038,0.005838100000000001,0.0002127159690602414,6.5,0.305,0.25,1.3959645786005899
compass.d.h+.51,1,12,12,2001,301.03984399999996,4.0,9.0,0.21,0.4,0.2,0.3,1.4317821063276353,1.5329709716755893,0.938,0.139,0.0002431159344385746,True,0.1,0.9,25.0,10000.0,0.0107,0.0024,0.0037985,0.0001440544853762394,6.5,0.305,0.25,1.4823765390016121
compass.d.h+.52,1,12,12,2001,301.03984399999996,4.0,9.0,0.21,0.4,0.2,0.3,1.5329709716755893,1.6278820596099706,0.938,0.139,0.00022803297331582765,True,0.1,0.9,25.0,10000.0,0.0043,0.0016,0.00189974,5.789105487082519e-05,6.5,0.305,0.25,1.58042651564278
compass.d.h+.53,1,12,12,2001,301.03984399999996,4.0,9.0,0.21,0.4,0.2,0.3,1.6278820596099706,1.7320508075688772,0.938,0.139,0.0002145217608301778,True,0.1,0.9,25.0,10000.0,0.0015,0.0009,0.00084345,2.019455402470646e-05,6.5,0.305,0.25,1.6799664335894238
compass.d.h+.54,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.282842712474619,0.31622776601683794,0.938,0.139,3.173564117803492e-05,True,0.1,0.9,25.0,10000.0,5.2219,0.2133,0.43811741,0.09159788536232001,3.3228756555322954,0.0435,0.25,0.29953523924572845
compass.d.h+.55,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.31622776601683794,0.34641016151377546,0.938,0.139,2.8691212736053708e-05,True,0.1,0.9,25.0,10000.0,5.4294,0.2283,0.45932723999999997,0.09523766421918847,3.3228756555322954,0.0435,0.25,0.3313189637653067
compass.d.h+.56,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.34641016151377546,0.37416573867739417,0.938,0.139,2.6384293092115197e-05,True,0.1,0.9,25.0,10000.0,4.5371,0.1948,0.39155173,0.07958573807950786,3.3228756555322954,0.0435,0.25,0.3602879500955848
