# name: hermes3D.p.pi-.no-vmsub
# comment: HERMES proton-to-pi- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.pi-.no-vmsub.0,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.152031,0.0,0.15,0.1096793,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,3.641533,0.0525766,0.9517452,0.0980394842040652
hermes3D.p.pi-.no-vmsub.1,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1546214,0.15,0.25,0.2226928,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,7.733573,0.06863808,0.745388,0.20820778171569096
hermes3D.p.pi-.no-vmsub.2,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1562146,0.25,0.35,0.3295033,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,8.421257,0.06557679,0.212208,0.22672201312740367
hermes3D.p.pi-.no-vmsub.3,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1595915,0.35,0.45,0.4420025,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,6.61693,0.06408729,0.6902392,0.17814486487268005
hermes3D.p.pi-.no-vmsub.4,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.1627369,0.45,0.6,0.5859958,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,3.83095,0.05252037,0.631064,0.10313907961607478
hermes3D.p.pi-.no-vmsub.5,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.1,0.2,0.168528,0.6,0.8,0.791671,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,1.516277,0.05341907,0.2495758,0.040822097449202684
hermes3D.p.pi-.no-vmsub.6,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2224191,0.8,1.2,1.357048,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1631877,0.05294698,0.0268748,0.004393434835396997
hermes3D.p.pi-.no-vmsub.7,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2298026,0.0,0.15,0.1027844,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,1.605554,0.05024858,0.06766421,0.043225665131079054
hermes3D.p.pi-.no-vmsub.8,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2371517,0.15,0.25,0.2167211,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,3.681934,0.07193686,0.9713948,0.09912718358817857
hermes3D.p.pi-.no-vmsub.9,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.2,0.25,0.2375678,0.25,0.35,0.3192526,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,4.296647,0.06846185,0.600022,0.11567684700013543
