# name: hermes3D.d.pi-
# comment: HERMES deutron-to-pi- (zxpt-3D) vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.d.pi-.0,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1519976,0.0,0.15,0.1107234,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,3.889816,0.04910913,0.5273999,0.11725282325205143
hermes3D.d.pi-.1,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1538399,0.15,0.25,0.2216789,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,7.74835,0.06094666,0.4965339,0.23356269629335494
hermes3D.d.pi-.2,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1552639,0.25,0.35,0.3270037,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,8.614843,0.05956393,0.8337088,0.259681862489941
hermes3D.d.pi-.3,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1579656,0.35,0.45,0.4383999,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,7.040695,0.06003686,0.8840889,0.21223146966504386
hermes3D.d.pi-.4,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.1600849,0.45,0.6,0.577428,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,4.358895,0.05104697,0.5434803,0.13139252473876675
hermes3D.d.pi-.5,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.165578,0.6,0.8,0.7804701,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,1.682686,0.05154773,0.1333441,0.050722112343283436
hermes3D.d.pi-.6,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.1,0.2,0.170867,0.8,1.2,1.042909,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.3464875,0.05680621,0.02738106,0.010444359732322857
hermes3D.d.pi-.7,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2294398,0.0,0.15,0.1046564,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.607095,0.04650115,0.3953339,0.04844353202934421
hermes3D.d.pi-.8,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2334364,0.15,0.25,0.213071,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,3.595631,0.06425711,0.5176352,0.1083850460079852
hermes3D.d.pi-.9,1,12,-1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.2,0.25,0.2338915,0.25,0.35,0.3151613,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,4.209695,0.06085733,0.3469731,0.12689510860669106
