# name: hermes3D.p.pi-
# comment: HERMES proton-to-pi- (zxpt-3D) vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.pi-.18,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.290892,0.45,0.6,0.5500828,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,1.98703,0.03426858,0.09699928,0.053495985426468384
hermes3D.p.pi-.19,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.25,0.3,0.2955003,0.6,0.8,0.7398435,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.9388175,0.02102778,0.02781327,0.025275394582927022
hermes3D.p.pi-.20,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3014583,0.8,1.2,1.01777,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1792868,0.008563997,0.006063206,0.004826864234540068
hermes3D.p.pi-.21,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3374792,0.0,0.15,0.101407,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.6181819,0.02792009,0.01946831,0.016643055169427
hermes3D.p.pi-.22,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3440591,0.15,0.25,0.2090721,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,1.301206,0.03602716,0.1508988,0.03503183002412305
hermes3D.p.pi-.23,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3477932,0.25,0.35,0.3123826,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,1.551425,0.03560288,0.3585915,0.04176837249073175
hermes3D.p.pi-.24,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3478862,0.35,0.45,0.4163624,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,1.661679,0.03534455,0.2480396,0.04473669525244639
hermes3D.p.pi-.25,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3511359,0.45,0.6,0.5450922,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,1.349975,0.02249053,0.1106181,0.03634481760521817
hermes3D.p.pi-.26,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.35247,0.6,0.8,0.7219103,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.7397282,0.01410481,0.03638629,0.019915395845431467
hermes3D.p.pi-.27,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.3,0.375,0.3581437,0.8,1.2,0.9971298,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1880701,0.005441141,0.009754344,0.005063333381355315
hermes3D.p.pi-.28,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4212458,0.0,0.15,0.1038083,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.294805,0.01648338,0.01019283,0.00793691287179862
hermes3D.p.pi-.29,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4248629,0.15,0.25,0.2050348,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.6870249,0.02300251,0.05259189,0.018496486735490106
