# name: hermes3D.d.pi+.no-vmsub
# comment: HERMES deutron-to-pi+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.d.pi+.no-vmsub.17,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.25,0.3,0.2854939,0.35,0.45,0.4162685,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,2.963071,0.05136251,0.3430392,0.08931744849789276
hermes3D.d.pi+.no-vmsub.18,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.25,0.3,0.2887204,0.45,0.6,0.5462692,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,2.108645,0.0316548,0.176364,0.06356202439558117
hermes3D.d.pi+.no-vmsub.19,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.25,0.3,0.2973627,0.6,0.8,0.7424863,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.9707976,0.01943141,0.05553689,0.029263276053755685
hermes3D.d.pi+.no-vmsub.20,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.3,0.375,0.3021026,0.8,1.2,1.024651,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.2003064,0.007984285,0.01138403,0.006037943932426293
hermes3D.d.pi+.no-vmsub.21,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.3,0.375,0.3359652,0.0,0.15,0.1008722,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.6699716,0.02602066,0.04828201,0.020195315562148465
hermes3D.d.pi+.no-vmsub.22,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.3,0.375,0.3414715,0.15,0.25,0.207733,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.606335,0.03688778,0.1995225,0.04842062293912721
hermes3D.d.pi+.no-vmsub.23,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.3,0.375,0.3439369,0.25,0.35,0.3103966,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.912422,0.03807878,0.2876813,0.05764716859340768
hermes3D.d.pi+.no-vmsub.24,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.3,0.375,0.34708,0.35,0.45,0.4140658,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,2.066739,0.03719402,0.3147335,0.06229882921843129
hermes3D.d.pi+.no-vmsub.25,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.3,0.375,0.3484627,0.45,0.6,0.5404285,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.595426,0.02272481,0.1951572,0.04809178706389387
hermes3D.d.pi+.no-vmsub.26,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.3,0.375,0.3536769,0.6,0.8,0.7214899,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.769915,0.01306141,0.02896382,0.02320796341372013
hermes3D.d.pi+.no-vmsub.27,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.3,0.375,0.3605508,0.8,1.2,0.995866,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.183866,0.004855401,0.007554093,0.005542372081368807
hermes3D.d.pi+.no-vmsub.28,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.375,0.475,0.4252024,0.0,0.15,0.104036,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.3941653,0.01842268,0.0457231,0.011881537392255013
hermes3D.d.pi+.no-vmsub.29,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.375,0.475,0.4251895,0.15,0.25,0.2056777,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.8514509,0.02574011,0.1391632,0.025665744057173943
hermes3D.d.pi+.no-vmsub.30,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.375,0.475,0.4289906,0.25,0.35,0.3087638,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.126252,0.02567543,0.2129623,0.03394922194090143
hermes3D.d.pi+.no-vmsub.31,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.375,0.475,0.4298802,0.35,0.45,0.4100146,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,1.269905,0.02640214,0.2425871,0.03827943185793271
hermes3D.d.pi+.no-vmsub.32,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.375,0.475,0.4312419,0.45,0.6,0.5334893,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.9973162,0.01741485,0.1632492,0.030062640527214544
hermes3D.d.pi+.no-vmsub.33,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.375,0.475,0.4332004,0.6,0.8,0.7085244,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.5446493,0.009648566,0.037303,0.016417657829381527
hermes3D.d.pi+.no-vmsub.34,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.375,0.475,0.4400492,0.8,1.2,0.9665702,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.1605131,0.003621148,0.01107392,0.00483843301172571
hermes3D.d.pi+.no-vmsub.35,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.475,0.6,0.5341099,0.0,0.15,0.1028912,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.1575455,0.01027389,0.02235056,0.0047489790431362484
hermes3D.d.pi+.no-vmsub.36,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.475,0.6,0.5348628,0.15,0.25,0.2064932,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.4303355,0.01716934,0.08209914,0.012971835254053965
hermes3D.d.pi+.no-vmsub.37,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.475,0.6,0.5369749,0.25,0.35,0.3048847,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.5968241,0.01766178,0.1136272,0.017990390987610894
hermes3D.d.pi+.no-vmsub.38,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.475,0.6,0.5391858,0.35,0.45,0.4060098,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.7237687,0.01825686,0.1401885,0.02181695058492922
hermes3D.d.pi+.no-vmsub.39,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.475,0.6,0.5414914,0.45,0.6,0.5311465,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.6096539,0.01287233,0.1157774,0.01837712657401374
hermes3D.d.pi+.no-vmsub.40,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.475,0.6,0.5415266,0.6,0.8,0.7024082,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.3556704,0.007664504,0.0347655,0.010721164843577801
hermes3D.d.pi+.no-vmsub.41,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.475,0.6,0.5447605,0.8,1.2,0.9563616,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.1131973,0.00264538,0.0107175,0.0034121673131863924
hermes3D.d.pi+.no-vmsub.42,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.6,0.8,0.69273,0.0,0.15,0.1009989,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.07353103,0.005568939,0.009689465,0.0022164855263414234
hermes3D.d.pi+.no-vmsub.43,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.6,0.8,0.6961966,0.15,0.25,0.2052945,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.237175,0.0103892,0.04286852,0.007149294042393084
hermes3D.d.pi+.no-vmsub.44,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.6,0.8,0.6909164,0.25,0.35,0.3035252,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.3288976,0.01059785,0.0678143,0.009914137882312149
hermes3D.d.pi+.no-vmsub.45,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.6,0.8,0.6877514,0.35,0.45,0.4015778,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.3499369,0.01058419,0.07330212,0.010548336858368312
hermes3D.d.pi+.no-vmsub.46,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.6,0.8,0.6882443,0.45,0.6,0.5260225,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.2933807,0.007412239,0.05377732,0.008843532795037894
hermes3D.d.pi+.no-vmsub.47,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.6,0.8,0.6838881,0.6,0.8,0.6936255,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.1964534,0.005073105,0.01982008,0.005921800873734017
hermes3D.d.pi+.no-vmsub.48,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.6,0.8,0.6884675,0.8,1.2,0.9510005,0.938,0.139,1.0158106521635007e-05,True,0.1,0.85,10.0,10000.0,0.06755788,0.001803263,0.006800836,0.0020364336418286365
hermes3D.d.pi+.no-vmsub.49,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.8,1.1,0.874357,0.0,0.15,0.09260683,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.0472243,0.003071601,0.006252278,0.001423507564651349
