# name: LHCb13_dy
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.02
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,y_avg,qT_avg
LHCb13_dy.0,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,1.303,0.02,0.054,2.25,1.0143391329773819
LHCb13_dy.1,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,2.56,0.04,0.14,2.25,2.6787494376137557
LHCb13_dy.2,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,2.67,0.03,0.06,2.246762369386657,4.0
LHCb13_dy.3,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,2.47,0.03,0.04,2.246765624320619,5.199999999999999
LHCb13_dy.4,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,2.34,0.03,0.03,2.25,6.671823553842392
LHCb13_dy.5,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,2.01,0.03,0.11,2.25,8.118748458506182
LHCb13_dy.6,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,1.821,0.022,0.048,2.25,9.762093213337387
LHCb13_dy.7,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,1.543,0.019,0.034,2.25,11.810236990948493
LHCb13_dy.8,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,1.29,0.016,0.037,2.25,14.293413866481234
LHCb13_dy.9,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.0,2.5,15.4,19.0,60.0,True,20.0,20.0,2.0,4.5,1.001,0.011,0.024,2.25,17.374876544666257
