# name: CMS13_dQ_350to1000
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.012
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg
CMS13_dQ_350to1000.0,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,0.0,2.0,2896.5266273097395,True,25.0,20.0,-2.4,2.4,0.00238,0.0003080790262254,675.0,0.0,0.969998872733132
CMS13_dQ_350to1000.1,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,2.0,4.0,2866.8097027064123,True,25.0,20.0,-2.4,2.4,0.00565,0.000464022911611,675.0,0.0,2.916407477231827
CMS13_dQ_350to1000.2,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,4.0,6.0,3017.229745401996,True,25.0,20.0,-2.4,2.4,0.00699,0.0004749600843228,675.0,0.0,4.8192185782368115
CMS13_dQ_350to1000.3,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,6.0,8.0,2946.5887719554867,True,25.0,20.0,-2.4,2.4,0.00688,0.0004325107499242,675.0,0.0,7.110479672365864
CMS13_dQ_350to1000.4,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,8.0,10.0,2861.155890289601,True,25.0,20.0,-2.4,2.4,0.00614,0.0004047280099029,675.0,0.0,9.0
CMS13_dQ_350to1000.5,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,10.0,12.0,3037.6445356542654,True,25.0,20.0,-2.4,2.4,0.00603,0.0004403138866763,675.0,0.0,11.0
CMS13_dQ_350to1000.6,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,12.0,14.0,2999.716411425412,True,25.0,20.0,-2.4,2.4,0.00528,0.0003962463233898,675.0,0.0,13.0
CMS13_dQ_350to1000.7,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,14.0,18.0,3019.198210497996,True,25.0,20.0,-2.4,2.4,0.00511,0.0003368338974925,675.0,0.0,15.970203254103268
CMS13_dQ_350to1000.8,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,18.0,22.0,2981.7010426693173,True,25.0,20.0,-2.4,2.4,0.00453,0.0003261914568163,675.0,0.0,19.9410932949001
CMS13_dQ_350to1000.9,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,22.0,28.0,3087.4600543774945,True,25.0,20.0,-2.4,2.4,0.00404,0.0003236289653291,675.0,0.0,25.0
CMS13_dQ_350to1000.10,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,28.0,52.0,3076.650759954925,True,25.0,20.0,-2.4,2.4,0.00212,0.0001311147588946,675.0,0.0,40.0
CMS13_dQ_350to1000.11,1,1,1,3,169000000.0,350.0,1000.0,-2.4,2.4,52.0,160.0,3102.051283111812,True,25.0,20.0,-2.4,2.4,0.000578,3.9861052469798136e-05,675.0,0.0,106.0
