# name: D01
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.044
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
D01.0,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,0.0,1.0,600.0,False,6.04,0.53,0.0,0.4884262161172875,0.0,0.0,-100.0,100.0
D01.1,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,1.0,2.0,600.0,False,16.2,0.96,0.0,1.4667823920634175,0.0,0.0,-100.0,100.0
D01.2,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,2.0,3.0,600.0,False,20.4,1.1,0.0,2.3952158842723508,0.0,0.0,-100.0,100.0
D01.3,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,3.0,4.0,600.0,False,19.7,1.1,0.0,3.550130904852227,0.0,0.0,-100.0,100.0
D01.4,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,4.0,5.0,600.0,False,16.2,0.92,0.0,4.5,0.0,0.0,-100.0,100.0
D01.5,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,5.0,6.0,600.0,False,15.0,0.87,0.0,5.492698952396038,0.0,0.0,-100.0,100.0
D01.6,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,6.0,7.0,600.0,False,14.1,0.84,0.0,6.493326263785747,0.0,0.0,-100.0,100.0
D01.7,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,7.0,8.0,600.0,False,11.1,0.73,0.0,7.491677179245745,0.0,0.0,-100.0,100.0
D01.8,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,8.0,9.0,600.0,False,10.0,0.69,0.0,8.5,0.0,0.0,-100.0,100.0
D01.9,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,9.0,10.0,600.0,False,9.29,0.67,0.0,9.5,0.0,0.0,-100.0,100.0
D01.10,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,10.0,12.0,600.0,False,7.25,0.54,0.0,11.0,0.0,0.0,-100.0,100.0
D01.11,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,12.0,14.0,600.0,False,5.45,0.44,0.0,13.0,0.0,0.0,-100.0,100.0
D01.12,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,14.0,16.0,600.0,False,4.45,0.39,0.0,14.985843948686732,0.0,0.0,-100.0,100.0
D01.13,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,16.0,18.0,600.0,False,3.54,0.33,0.0,17.04526988913931,0.0,0.0,-100.0,100.0
D01.14,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,18.0,20.0,600.0,False,3.21,0.31,0.0,18.990288019269144,0.0,0.0,-100.0,100.0
D01.15,1,1,-1,3,3240000.0,75.0,105.0,91.0,-10.0,10.0,20.0,25.0,600.0,False,2.06,0.18,0.0,22.5,0.0,0.0,-100.0,100.0
