# name: E605
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.15
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,uncorrErr_1,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E605.7Q8.0,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.0,0.2,0.6362082813445097,False,0.785,0.1692059,0.03925,7.527556039080582,0.05,0.1,0.0,0.0,-100.0,100.0
E605.7Q8.1,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.1999999999999999,0.4,0.2122107223388312,False,0.973,0.1762993,0.04865,7.530146019701968,0.05,0.29999999999999993,0.0,0.0,-100.0,100.0
E605.7Q8.2,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.4,0.6,0.1274958185569519,False,0.825,0.1442574,0.04125,7.528497039719679,0.05,0.5,0.0,0.0,-100.0,100.0
E605.7Q8.3,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.6,0.7999999999999999,0.0912496251291182,False,0.805,0.1394619,0.04025,7.526568537188101,0.05,0.7,0.0,0.0,-100.0,100.0
E605.7Q8.4,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,0.8,1.0,0.0711593903418002,False,0.569,0.09937236,0.02845,7.5257434311670455,0.05,0.9,0.0,0.0,-100.0,100.0
E605.7Q8.5,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.0,1.2000000000000002,0.0584124731728939,False,0.537,0.09595475,0.02685,7.524221302247099,0.05,1.1,0.0,0.0,-100.0,100.0
E605.7Q8.6,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.2,1.4,0.0496193375083521,False,0.388,0.07269525,0.0194,7.517568802294342,0.05,1.2999999999999998,0.0,0.0,-100.0,100.0
E605.7Q8.7,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.4,1.6,0.0431981514242976,False,0.312,0.06227038,0.0156,7.514314802331822,0.05,1.5,0.0,0.0,-100.0,100.0
E605.7Q8.8,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.6,1.8,0.038311434373603,False,0.229,0.0519838,0.01145,7.505499713685098,0.05,1.7000000000000002,0.0,0.0,-100.0,100.0
E605.7Q8.9,2,1,63029,1,1502.3375999999998,7.0,8.0,-0.1,0.2,1.7999999999999998,2.0,0.0344742958783225,False,0.136,0.03748186,0.0068,7.497332337060052,0.05,1.9,0.0,0.0,-100.0,100.0
