# name: CMS8
# comment: 
# reference: 
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,y_avg,qT_avg
CMS8.0,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,0.0,2.5,252.0,True,20.0,20.0,-2.1,2.1,0.0333549,0.00205861,0.0,1.1334428009004494
CMS8.1,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,2.5,5.0,252.0,True,20.0,20.0,-2.1,2.1,0.0553482,0.00264076,0.0,3.1629266131613116
CMS8.2,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,5.0,7.5,252.0,True,20.0,20.0,-2.1,2.1,0.051878,0.00249936,0.0,6.274293395623688
CMS8.3,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,7.5,10.0,252.0,True,20.0,20.0,-2.1,2.1,0.0385965,0.00229056,0.0,8.73253424784106
CMS8.4,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,10.0,12.5,252.0,True,20.0,20.0,-2.1,2.1,0.0354796,0.00215988,0.0,11.21097200804797
CMS8.5,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,12.5,15.0,252.0,True,20.0,20.0,-2.1,2.1,0.0240797,0.00189679,0.0,13.733312195716467
CMS8.6,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,15.0,17.5,252.0,True,20.0,20.0,-2.1,2.1,0.0225014,0.00173219,0.0,16.235695099838356
CMS8.7,1,1,1,3,64000000.0,60.0,120.0,91.0,-2.1,2.1,17.5,20.0,252.0,True,20.0,20.0,-2.1,2.1,0.0172383,0.00154885,0.0,18.734530759702345
