# name: CDF2
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.058
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,corrErr_0,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
CDF2.0,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,0.0,0.5,1000.0,False,3.613,0.168,0.035,0.0,0.24815165898929356,0.0,0.0,-100.0,100.0
CDF2.1,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,0.5,1.0,1000.0,False,10.08,0.27,0.1,0.0,0.7450358103105826,0.0,0.0,-100.0,100.0
CDF2.2,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,1.0,1.5,1000.0,False,15.51,0.33,0.15,0.0,1.2427366842213234,0.0,0.0,-100.0,100.0
CDF2.3,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,1.5,2.0,1000.0,False,19.47,0.37,0.19,0.0,1.740380875464503,0.0,0.0,-100.0,100.0
CDF2.4,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,2.0,2.5,1000.0,False,21.58,0.39,0.21,0.0,2.2320137920170535,0.0,0.0,-100.0,100.0
CDF2.5,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,2.5,3.0,1000.0,False,22.95,0.4,0.23,0.0,2.697159303102925,0.0,0.0,-100.0,100.0
CDF2.6,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,3.0,3.5,1000.0,False,22.58,0.39,0.22,0.0,3.25,0.0,0.0,-100.0,100.0
CDF2.7,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,3.5,4.0,1000.0,False,22.35,0.39,0.22,0.0,3.7616551350053893,0.0,0.0,-100.0,100.0
CDF2.8,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,4.0,4.5,1000.0,False,20.61,0.37,0.21,0.0,4.25,0.0,0.0,-100.0,100.0
CDF2.9,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,4.5,5.0,1000.0,False,19.87,0.36,0.2,0.0,4.75,0.0,0.0,-100.0,100.0
CDF2.10,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,5.0,5.5,1000.0,False,18.76,0.35,0.19,0.0,5.25,0.0,0.0,-100.0,100.0
CDF2.11,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,5.5,6.0,1000.0,False,17.29,0.34,0.17,0.0,5.75,0.0,0.0,-100.0,100.0
CDF2.12,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,6.0,6.5,1000.0,False,15.63,0.32,0.16,0.0,6.25,0.0,0.0,-100.0,100.0
CDF2.13,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,6.5,7.0,1000.0,False,14.68,0.31,0.15,0.0,6.75,0.0,0.0,-100.0,100.0
CDF2.14,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,7.0,7.5,1000.0,False,13.74,0.3,0.14,0.0,7.25,0.0,0.0,-100.0,100.0
CDF2.15,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,7.5,8.0,1000.0,False,13.07,0.3,0.13,0.0,7.75,0.0,0.0,-100.0,100.0
CDF2.16,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,8.0,8.5,1000.0,False,11.83,0.28,0.12,0.0,8.25,0.0,0.0,-100.0,100.0
CDF2.17,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,8.5,9.0,1000.0,False,11.12,0.27,0.11,0.0,8.75,0.0,0.0,-100.0,100.0
CDF2.18,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,9.0,9.5,1000.0,False,10.33,0.26,0.11,0.0,9.25,0.0,0.0,-100.0,100.0
CDF2.19,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,9.5,10.0,1000.0,False,10.24,0.27,0.11,0.0,9.75,0.0,0.0,-100.0,100.0
