# name: CMS13_dQ_170to350
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.012
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg
CMS13_dQ_170to350.0,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,0.0,2.0,798.8637937786375,True,25.0,20.0,-2.4,2.4,0.0344,0.0015632141248082,260.0,0.0,0.9607921275778192
CMS13_dQ_170to350.1,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,2.0,4.0,813.8817939559895,True,25.0,20.0,-2.4,2.4,0.0781,0.0022323488459467,260.0,0.0,2.891486426160501
CMS13_dQ_170to350.2,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,4.0,6.0,814.3253476134835,True,25.0,20.0,-2.4,2.4,0.0902,0.0023813483323529,260.0,0.0,4.561770036600523
CMS13_dQ_170to350.3,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,6.0,8.0,813.2488401673768,True,25.0,20.0,-2.4,2.4,0.0871,0.0022995059839017,260.0,0.0,7.036262994282592
CMS13_dQ_170to350.4,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,8.0,10.0,831.5456065230134,True,25.0,20.0,-2.4,2.4,0.0827,0.0023638316204839,260.0,0.0,9.0
CMS13_dQ_170to350.5,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,10.0,12.0,827.30039996623,True,25.0,20.0,-2.4,2.4,0.0758,0.0021666074586781,260.0,0.0,11.0
CMS13_dQ_170to350.6,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,12.0,14.0,831.9503923387538,True,25.0,20.0,-2.4,2.4,0.0653,0.0019371110448293,260.0,0.0,13.0
CMS13_dQ_170to350.7,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,14.0,18.0,840.2754446248464,True,25.0,20.0,-2.4,2.4,0.0548,0.0016256307083713,260.0,0.0,15.964000322258977
CMS13_dQ_170to350.8,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,18.0,22.0,841.1383148179385,True,25.0,20.0,-2.4,2.4,0.0465,0.0013291193512999,260.0,0.0,19.93780208617664
CMS13_dQ_170to350.9,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,22.0,28.0,842.0556097812945,True,25.0,20.0,-2.4,2.4,0.0353,0.0010851520861151,260.0,0.0,25.0
CMS13_dQ_170to350.10,1,1,1,3,169000000.0,170.0,350.0,-2.4,2.4,28.0,52.0,848.3570593469949,True,25.0,20.0,-2.4,2.4,0.02053,0.0006090182197602,260.0,0.0,40.0
