# name: D02
# comment: 
# reference: 
# processType: DY
# isNormalized: True
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,uncorrErr_1,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
D02.0,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,0.0,2.5,800.0,False,0.0532,0.0013,0.0024,0.0,1.0824444896210312,0.0,0.0,-100.0,100.0
D02.1,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,2.5,5.0,800.0,False,0.0808,0.0012,0.0019,0.0,3.9316284930732333,0.0,0.0,-100.0,100.0
D02.2,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,5.0,7.5,800.0,False,0.0633,0.0011,0.0014,0.0,6.2158941948211455,0.0,0.0,-100.0,100.0
D02.3,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,7.5,10.0,800.0,False,0.0443,0.0009,0.0011,0.0,8.71135184630444,0.0,0.0,-100.0,100.0
D02.4,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,10.0,12.5,800.0,False,0.0315,0.0008,0.0008,0.0,11.170070716395568,0.0,0.0,-100.0,100.0
D02.5,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,12.5,15.0,800.0,False,0.0246,0.0007,0.0006,0.0,13.730844202458623,0.0,0.0,-100.0,100.0
D02.6,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,15.0,17.5,800.0,False,0.0186,0.0006,0.0005,0.0,16.25,0.0,0.0,-100.0,100.0
D02.7,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,17.5,20.0,800.0,False,0.0142,0.0005,0.0005,0.0,18.726318926184263,0.0,0.0,-100.0,100.0
D02.8,1,1,-1,3,3841600.0,70.0,110.0,91.0,-10.0,10.0,20.0,22.5,800.0,False,0.0109,0.0004,0.0003,0.0,21.198151940268758,0.0,0.0,-100.0,100.0
