# name: CMS13-08y12
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.025
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,corrErr_0,y_avg,qT_avg
CMS13-08y12.0,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,1.0,2.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,5.3403,0.1283397192756396,0.0053403,1.0,1.47766746009509
CMS13-08y12.1,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,2.0,3.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,7.1761,0.1551727520982662,0.0071761,1.0,2.4629777315733974
CMS13-08y12.2,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,3.0,4.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,8.0962,0.1622681496012079,0.0080962,1.0,3.413602350708316
CMS13-08y12.3,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,4.0,5.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,8.2121,0.1556574864686886,0.0082121,1.0,4.5927660002136275
CMS13-08y12.4,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,5.0,6.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,7.8929,0.1413050635814229,0.0078929,1.0,5.519613844603119
CMS13-08y12.5,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,6.0,7.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,7.4519,0.1278009698466721,0.0074519,1.0,6.5
CMS13-08y12.6,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,7.0,8.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,6.8903,0.1149505188929132,0.0068903,1.0,7.5
CMS13-08y12.7,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,8.0,9.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,6.435,0.1028832152248363,0.006435,1.0,8.5
CMS13-08y12.8,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,9.0,10.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,5.8886,0.0919472059118709,0.0058886,1.0,9.5
CMS13-08y12.9,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,10.0,11.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,5.3966,0.0850963152845057,0.0053966,1.0,10.5
CMS13-08y12.10,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,11.0,12.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,4.9616,0.077498812894134,0.0049616,1.0,11.5
CMS13-08y12.11,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,12.0,13.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,4.6803,0.0685911207354858,0.0046803,1.0,12.5
CMS13-08y12.12,1,1,1,3,169000000.0,76.1876,106.1876,91.1876,0.8,1.2,13.0,14.0,23.999999999999996,True,25.0,25.0,-2.4,2.4,4.1476,0.0553961866918653,0.0041475999999999,1.0,13.5
