# name: compass.d.h+
# comment: 
# reference: 
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,x_min,x_max,z_min,z_max,pT_min,pT_max,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,Q_avg,x_avg,z_avg,pT_avg
compass.d.h+.0,1,12,12,2001,301.039844,4.0,9.0,0.1,0.21,0.2,0.3,0.282842712474619,0.3162277660168379,0.938,0.139,0.0006481131792235,True,0.1,0.9,25.0,10000.0,6.2719,0.3126,0.6591766899999999,0.0842542948525976,6.5,0.155,0.20163086572328584,0.29953523924572845
compass.d.h+.1,1,12,12,2001,301.039844,4.0,9.0,0.1,0.21,0.2,0.3,0.3162277660168379,0.3464101615137754,0.938,0.139,0.0005859391022801,True,0.1,0.9,25.0,10000.0,6.2175,0.3135,0.65097225,0.0835235061538012,6.5,0.155,0.20101784332296324,0.3313189637653067
compass.d.h+.2,1,12,12,2001,301.039844,4.0,9.0,0.1,0.21,0.2,0.3,0.3464101615137754,0.3741657386773941,0.938,0.139,0.0005388266139501,True,0.1,0.9,25.0,10000.0,5.0537,0.2711,0.5407459,0.0678894641012409,6.5,0.155,0.20025295770077128,0.3602879500955848
compass.d.h+.3,1,12,12,2001,301.039844,4.0,9.0,0.1,0.21,0.2,0.3,0.3741657386773941,0.412310562561766,0.938,0.139,0.0004936772688284,True,0.1,0.9,25.0,10000.0,4.8854,0.2244,0.52127218,0.0656285865643394,6.5,0.155,0.19944382400158836,0.39323815061958006
compass.d.h+.27,1,12,12,2001,301.039844,4.0,9.0,0.21,0.4,0.2,0.3,0.282842712474619,0.3162277660168379,0.938,0.139,0.0012031617995155,True,0.1,0.9,25.0,10000.0,6.9848,0.2818,0.6446970399999999,0.0940366139678464,6.5,0.305,0.18359061632098153,0.29953523924572845
compass.d.h+.28,1,12,12,2001,301.039844,4.0,9.0,0.21,0.4,0.2,0.3,0.3162277660168379,0.3464101615137754,0.938,0.139,0.0010877414120022,True,0.1,0.9,25.0,10000.0,6.2763,0.2679,0.59938665,0.0844980529501767,6.5,0.305,0.1834111696526503,0.3313189637653067
compass.d.h+.29,1,12,12,2001,301.039844,4.0,9.0,0.21,0.4,0.2,0.3,0.3464101615137754,0.3741657386773941,0.938,0.139,0.0010002814620183,True,0.1,0.9,25.0,10000.0,6.0334,0.2721,0.59790994,0.0812278815017759,6.5,0.305,0.18338398409288575,0.3602879500955848
compass.d.h+.30,1,12,12,2001,301.039844,4.0,9.0,0.21,0.4,0.2,0.3,0.3741657386773941,0.412310562561766,0.938,0.139,0.0009164659046976,True,0.1,0.9,25.0,10000.0,5.2609,0.2053,0.5145160200000001,0.0708276861790521,6.5,0.305,0.18327191310791852,0.39323815061958006
compass.d.h+.466,1,12,12,2001,301.039844,4.0,9.0,0.1,0.21,0.3,0.4,0.2,0.2449489742783178,0.938,0.139,0.00087260673659,True,0.1,0.9,25.0,10000.0,2.953,0.2016,0.3056354999999999,0.0396694674181222,6.5,0.155,0.2927502042764208,0.2224744871391589
compass.d.h+.467,1,12,12,2001,301.039844,4.0,9.0,0.1,0.21,0.3,0.4,0.2449489742783178,0.282842712474619,0.938,0.139,0.0007356415080782,True,0.1,0.9,25.0,10000.0,2.4666,0.1825,0.2577597,0.0331353566994718,6.5,0.155,0.2927535602938251,0.26389584337646843
compass.d.h+.468,1,12,12,2001,301.039844,4.0,9.0,0.1,0.21,0.3,0.4,0.282842712474619,0.3162277660168379,0.938,0.139,0.0006481131792235,True,0.1,0.9,25.0,10000.0,3.0757,0.2175,0.32448635,0.0413177720751502,6.5,0.155,0.29295971667489695,0.29953523924572845
