# name: A8-00y04
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.028
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,y_avg,qT_avg
A8-00y04.0,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,0.0,2.0,40.0,True,20.0,20.0,-2.4,2.4,3.257,0.009771,0.006514,0.029313,0.2,0.9373253645274681
A8-00y04.1,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,2.0,4.0,40.0,True,20.0,20.0,-2.4,2.4,6.708,0.013416,0.006708,0.040248,0.2,2.794584089404676
A8-00y04.2,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,4.0,6.0,40.0,True,20.0,20.0,-2.4,2.4,6.714,0.013428,0.006714,0.040284,0.2,5.0857261334856645
A8-00y04.3,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,6.0,8.0,40.0,True,20.0,20.0,-2.4,2.4,5.886,0.011772,0.005886,0.035316,0.2,7.0
A8-00y04.4,1,1,1,3,64000000.0,66.0,116.0,91.0,0.0,0.4,8.0,10.0,40.0,True,20.0,20.0,-2.4,2.4,4.926,0.014778,0.004926,0.029556,0.2,9.0
