# name: compass.d.h-
# comment: 
# reference: 
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,x_min,x_max,z_min,z_max,pT_min,pT_max,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,Q_avg,x_avg,z_avg,pT_avg
compass.d.h-.0,1,12,-12,2001,301.039844,4.0,9.0,0.1,0.21,0.2,0.3,0.282842712474619,0.3162277660168379,0.938,0.139,0.0006481131792235,True,0.1,0.9,25.0,10000.0,4.9485,0.266,0.49732425,0.0664762477204801,6.5,0.155,0.21308389593056798,0.29953523924572845
compass.d.h-.1,1,12,-12,2001,301.039844,4.0,9.0,0.1,0.21,0.2,0.3,0.3162277660168379,0.3464101615137754,0.938,0.139,0.0005859391022801,True,0.1,0.9,25.0,10000.0,4.4538,0.2661,0.4631952,0.0598306379908001,6.5,0.155,0.21240063347636384,0.3313189637653067
compass.d.h-.2,1,12,-12,2001,301.039844,4.0,9.0,0.1,0.21,0.2,0.3,0.3464101615137754,0.3741657386773941,0.938,0.139,0.0005388266139501,True,0.1,0.9,25.0,10000.0,4.205,0.2496,0.4352175,0.0564883543830694,6.5,0.155,0.21151613283497178,0.3602879500955848
compass.d.h-.3,1,12,-12,2001,301.039844,4.0,9.0,0.1,0.21,0.2,0.3,0.3741657386773941,0.412310562561766,0.938,0.139,0.0004936772688284,True,0.1,0.9,25.0,10000.0,3.6758,0.1926,0.37971014,0.0493792849087483,6.5,0.155,0.21037337174074203,0.39323815061958006
compass.d.h-.27,1,12,-12,2001,301.039844,4.0,9.0,0.21,0.4,0.2,0.3,0.282842712474619,0.3162277660168379,0.938,0.139,0.0012031617995155,True,0.1,0.9,25.0,10000.0,4.6873,0.2184,0.4691987299999999,0.0631052887200043,6.5,0.305,0.20170038438804683,0.29953523924572845
compass.d.h-.28,1,12,-12,2001,301.039844,4.0,9.0,0.21,0.4,0.2,0.3,0.3162277660168379,0.3464101615137754,0.938,0.139,0.0010877414120022,True,0.1,0.9,25.0,10000.0,4.7136,0.2237,0.4671177599999999,0.0634593665672375,6.5,0.305,0.2011669085353235,0.3313189637653067
compass.d.h-.29,1,12,-12,2001,301.039844,4.0,9.0,0.21,0.4,0.2,0.3,0.3464101615137754,0.3741657386773941,0.938,0.139,0.0010002814620183,True,0.1,0.9,25.0,10000.0,4.1066,0.209,0.4188732,0.0552873037052397,6.5,0.305,0.2004881213728619,0.3602879500955848
compass.d.h-.30,1,12,-12,2001,301.039844,4.0,9.0,0.21,0.4,0.2,0.3,0.3741657386773941,0.412310562561766,0.938,0.139,0.0009164659046976,True,0.1,0.9,25.0,10000.0,3.6277,0.1591,0.36422108,0.0488398557569517,6.5,0.305,0.19974502713334463,0.39323815061958006
compass.d.h-.466,1,12,-12,2001,301.039844,4.0,9.0,0.1,0.21,0.3,0.4,0.2,0.2449489742783178,0.938,0.139,0.00087260673659,True,0.1,0.9,25.0,10000.0,2.0615,0.167,0.21542675,0.02769339894428,6.5,0.155,0.30139813569207824,0.2224744871391589
compass.d.h-.467,1,12,-12,2001,301.039844,4.0,9.0,0.1,0.21,0.3,0.4,0.2449489742783178,0.282842712474619,0.938,0.139,0.0007356415080782,True,0.1,0.9,25.0,10000.0,1.7709,0.1528,0.1893092099999999,0.0237895901966653,6.5,0.155,0.3015498445457332,0.26389584337646843
