# name: E288-200
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.25
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E288-200.4Q5.0,1,1,63029,1,377.1364000000001,4.0,5.0,0.1,0.7,0.0,0.2,1591.5494309189996,False,6290.0,320.0,4.5,0.39999999999999997,0.1,0.0,0.0,-100.0,100.0
E288-200.4Q5.1,1,1,63029,1,377.1364000000001,4.0,5.0,0.1,0.7,0.2,0.4,530.5164769729998,False,5880.0,240.0,4.5,0.39999999999999997,0.30000000000000004,0.0,0.0,-100.0,100.0
E288-200.4Q5.2,1,1,63029,1,377.1364000000001,4.0,5.0,0.1,0.7,0.4,0.6,318.3098861838,False,4750.0,230.0,4.498253019394535,0.39999999999999997,0.5,0.0,0.0,-100.0,100.0
E288-200.4Q5.3,1,1,63029,1,377.1364000000001,4.0,5.0,0.1,0.7,0.6,0.8,227.364204417,False,3690.0,220.0,4.500962160956822,0.39999999999999997,0.7,0.0,0.0,-100.0,100.0
E288-200.4Q5.4,1,1,63029,1,377.1364000000001,4.0,5.0,0.1,0.7,0.8,1.0,176.83882565766675,False,2930.0,220.0,4.495842602056188,0.39999999999999997,0.9,0.0,0.0,-100.0,100.0
E288-200.4Q5.5,1,1,63029,1,377.1364000000001,4.0,5.0,0.1,0.7,1.0,1.2,144.6863119017273,False,1680.0,160.0,4.485952228827704,0.39999999999999997,1.1,0.0,0.0,-100.0,100.0
E288-200.5Q6.0,1,1,63029,1,377.1364000000001,5.0,6.0,0.1,0.7,0.0,0.2,1591.5494309189996,False,1630.0,110.0,5.516078224695864,0.39999999999999997,0.1,0.0,0.0,-100.0,100.0
E288-200.5Q6.1,1,1,63029,1,377.1364000000001,5.0,6.0,0.1,0.7,0.2,0.4,530.5164769729998,False,1440.0,80.0,5.517148456458361,0.39999999999999997,0.30000000000000004,0.0,0.0,-100.0,100.0
E288-200.5Q6.2,1,1,63029,1,377.1364000000001,5.0,6.0,0.1,0.7,0.4,0.6,318.3098861838,False,1190.0,70.0,5.517612642798765,0.39999999999999997,0.5,0.0,0.0,-100.0,100.0
E288-200.5Q6.3,1,1,63029,1,377.1364000000001,5.0,6.0,0.1,0.7,0.6,0.8,227.364204417,False,1040.0,70.0,5.518476668560076,0.39999999999999997,0.7,0.0,0.0,-100.0,100.0
E288-200.5Q6.4,1,1,63029,1,377.1364000000001,5.0,6.0,0.1,0.7,0.8,1.0,176.83882565766675,False,601.0,51.0,5.520069960034678,0.39999999999999997,0.9,0.0,0.0,-100.0,100.0
E288-200.5Q6.5,1,1,63029,1,377.1364000000001,5.0,6.0,0.1,0.7,1.0,1.2,144.6863119017273,False,441.0,43.0,5.522895459085897,0.39999999999999997,1.1,0.0,0.0,-100.0,100.0
E288-200.5Q6.6,1,1,63029,1,377.1364000000001,5.0,6.0,0.1,0.7,1.2,1.4,122.42687930146155,False,248.0,30.0,5.523560076068211,0.39999999999999997,1.2999999999999998,0.0,0.0,-100.0,100.0
E288-200.6Q7.0,1,1,63029,1,377.1364000000001,6.0,7.0,0.1,0.7,0.0,0.2,1591.5494309189996,False,399.0,43.0,6.553625586221923,0.39999999999999997,0.1,0.0,0.0,-100.0,100.0
E288-200.6Q7.1,1,1,63029,1,377.1364000000001,6.0,7.0,0.1,0.7,0.2,0.4,530.5164769729998,False,342.0,25.0,6.55501618325305,0.39999999999999997,0.30000000000000004,0.0,0.0,-100.0,100.0
E288-200.6Q7.2,1,1,63029,1,377.1364000000001,6.0,7.0,0.1,0.7,0.4,0.6,318.3098861838,False,333.0,22.0,6.555577701496413,0.39999999999999997,0.5,0.0,0.0,-100.0,100.0
E288-200.6Q7.3,1,1,63029,1,377.1364000000001,6.0,7.0,0.1,0.7,0.6,0.8,227.364204417,False,255.0,20.0,6.556597442365406,0.39999999999999997,0.7,0.0,0.0,-100.0,100.0
E288-200.6Q7.4,1,1,63029,1,377.1364000000001,6.0,7.0,0.1,0.7,0.8,1.0,176.83882565766675,False,181.0,17.0,6.558354595516263,0.39999999999999997,0.9,0.0,0.0,-100.0,100.0
E288-200.6Q7.5,1,1,63029,1,377.1364000000001,6.0,7.0,0.1,0.7,1.0,1.2,144.6863119017273,False,130.0,14.0,6.561329745034471,0.39999999999999997,1.1,0.0,0.0,-100.0,100.0
