# name: E537.pi.dxF
# comment: E537(pi) data xF-differential
# reference: Phys.Rev.D 93 (1988) 1377
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.08
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E537.pi.dxF.0,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,0.0,0.7071067811865476,0.0070710678118654745,False,0.122,0.0289,6.5,-0.05,0.3535533905932738,0.0,0.0,-100.0,100.0
E537.pi.dxF.1,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,0.7071067811865476,1.0,0.0029289321881345244,False,0.0623,0.0192,6.5,-0.05,0.8535533905932737,0.0,0.0,-100.0,100.0
E537.pi.dxF.2,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,1.0,1.224744871391589,0.0022474487139158904,False,0.0507,0.0174,6.5,-0.05,1.1123724356957945,0.0,0.0,-100.0,100.0
E537.pi.dxF.3,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,1.224744871391589,1.4142135623730951,0.0018946869098150595,False,0.0195,0.0114,6.5,-0.05,1.3194792168823422,0.0,0.0,-100.0,100.0
E537.pi.dxF.4,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,1.4142135623730951,1.5811388300841898,0.0016692526771109463,False,0.0127,0.00914,6.5,-0.05,1.4976761962286425,0.0,0.0,-100.0,100.0
E537.pi.dxF.5,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,1.5811388300841898,1.7320508075688772,0.001509119774846877,False,0.0163,0.00974,6.5,-0.05,1.6565948188265334,0.0,0.0,-100.0,100.0
E537.pi.dxF.6,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.0,0.00598,6.5,-0.05,1.801439750477924,0.0,0.0,-100.0,100.0
E537.pi.dxF.7,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,1.8708286933869707,2.0,0.0012917130661302934,False,0.0,0.00593,6.5,-0.05,1.9354143466934852,0.0,0.0,-100.0,100.0
E537.pi.dxF.8,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,2.0,2.1213203435596424,0.001213203435596426,False,0.00496,0.00507,6.5,-0.05,2.060660171779821,0.0,0.0,-100.0,100.0
E537.pi.dxF.9,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,2.1213203435596424,2.23606797749979,0.0011474763394014702,False,0.00835,0.00882,6.5,-0.05,2.178694160529716,0.0,0.0,-100.0,100.0
E537.pi.dxF.10,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,2.23606797749979,2.345207879911715,0.0010913990241192524,False,0.0125,0.01,6.5,-0.05,2.2906379287057526,0.0,0.0,-100.0,100.0
E537.pi.dxF.11,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,2.345207879911715,2.449489742783178,0.001042818628714632,False,0.0,0.00517,6.5,-0.05,2.397348811347446,0.0,0.0,-100.0,100.0
E537.pi.dxF.12,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,2.449489742783178,2.5495097567963922,0.0010002001401321437,False,0.00374,0.004,6.5,-0.05,2.499499749789785,0.0,0.0,-100.0,100.0
E537.pi.dxF.13,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,2.5495097567963922,2.6457513110645907,0.0009624155426819812,False,0.0031,0.00335,6.5,-0.05,2.5976305339304915,0.0,0.0,-100.0,100.0
E537.pi.dxF.14,2,2,184074,1,235.4,4.0,9.0,-0.1,0.0,2.6457513110645907,2.7386127875258306,0.0009286147646124004,False,0.0,0.0169,6.5,-0.05,2.6921820492952104,0.0,0.0,-100.0,100.0
E537.pi.dxF.15,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,0.0,0.7071067811865476,0.0070710678118654745,False,0.134,0.023,6.5,0.05,0.3535533905932738,0.0,0.0,-100.0,100.0
E537.pi.dxF.16,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,0.7071067811865476,1.0,0.0029289321881345244,False,0.0787,0.0176,6.5,0.05,0.8535533905932737,0.0,0.0,-100.0,100.0
E537.pi.dxF.17,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,1.0,1.224744871391589,0.0022474487139158904,False,0.0242,0.00926,6.5,0.05,1.1123724356957945,0.0,0.0,-100.0,100.0
E537.pi.dxF.18,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,1.224744871391589,1.4142135623730951,0.0018946869098150595,False,0.0212,0.0088,6.5,0.05,1.3194792168823422,0.0,0.0,-100.0,100.0
E537.pi.dxF.19,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,1.4142135623730951,1.5811388300841898,0.0016692526771109463,False,0.0146,0.00745,6.5,0.05,1.4976761962286425,0.0,0.0,-100.0,100.0
E537.pi.dxF.20,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,1.5811388300841898,1.7320508075688772,0.001509119774846877,False,0.0108,0.00638,6.5,0.05,1.6565948188265334,0.0,0.0,-100.0,100.0
E537.pi.dxF.21,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.00336,0.00339,6.5,0.05,1.801439750477924,0.0,0.0,-100.0,100.0
E537.pi.dxF.22,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,1.8708286933869707,2.0,0.0012917130661302934,False,0.00369,0.00374,6.5,0.05,1.9354143466934852,0.0,0.0,-100.0,100.0
E537.pi.dxF.23,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,2.0,2.1213203435596424,0.001213203435596426,False,0.0155,0.00957,6.5,0.05,2.060660171779821,0.0,0.0,-100.0,100.0
E537.pi.dxF.24,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,2.1213203435596424,2.23606797749979,0.0011474763394014702,False,0.0,0.00436,6.5,0.05,2.178694160529716,0.0,0.0,-100.0,100.0
E537.pi.dxF.25,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,2.23606797749979,2.345207879911715,0.0010913990241192524,False,0.0,0.003,6.5,0.05,2.2906379287057526,0.0,0.0,-100.0,100.0
E537.pi.dxF.26,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,2.345207879911715,2.449489742783178,0.001042818628714632,False,0.0,0.00218,6.5,0.05,2.397348811347446,0.0,0.0,-100.0,100.0
E537.pi.dxF.27,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,2.449489742783178,2.5495097567963922,0.0010002001401321437,False,0.00393,0.00421,6.5,0.05,2.499499749789785,0.0,0.0,-100.0,100.0
E537.pi.dxF.28,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,2.5495097567963922,2.6457513110645907,0.0009624155426819812,False,0.0,0.00188,6.5,0.05,2.5976305339304915,0.0,0.0,-100.0,100.0
E537.pi.dxF.29,2,2,184074,1,235.4,4.0,9.0,0.0,0.1,2.6457513110645907,2.7386127875258306,0.0009286147646124004,False,0.0,0.009,6.5,0.05,2.6921820492952104,0.0,0.0,-100.0,100.0
E537.pi.dxF.30,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,0.0,0.7071067811865476,0.0070710678118654745,False,0.113,0.0175,6.5,0.15000000000000002,0.3535533905932738,0.0,0.0,-100.0,100.0
E537.pi.dxF.31,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,0.7071067811865476,1.0,0.0029289321881345244,False,0.0756,0.0148,6.5,0.15000000000000002,0.8535533905932737,0.0,0.0,-100.0,100.0
E537.pi.dxF.32,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,1.0,1.224744871391589,0.0022474487139158904,False,0.0489,0.0114,6.5,0.15000000000000002,1.1123724356957945,0.0,0.0,-100.0,100.0
E537.pi.dxF.33,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,1.224744871391589,1.4142135623730951,0.0018946869098150595,False,0.0361,0.00956,6.5,0.15000000000000002,1.3194792168823422,0.0,0.0,-100.0,100.0
E537.pi.dxF.34,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,1.4142135623730951,1.5811388300841898,0.0016692526771109463,False,0.0289,0.00861,6.5,0.15000000000000002,1.4976761962286425,0.0,0.0,-100.0,100.0
E537.pi.dxF.35,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,1.5811388300841898,1.7320508075688772,0.001509119774846877,False,0.0128,0.00535,6.5,0.15000000000000002,1.6565948188265334,0.0,0.0,-100.0,100.0
E537.pi.dxF.36,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.0148,0.00579,6.5,0.15000000000000002,1.801439750477924,0.0,0.0,-100.0,100.0
E537.pi.dxF.37,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,1.8708286933869707,2.0,0.0012917130661302934,False,0.0104,0.0048,6.5,0.15000000000000002,1.9354143466934852,0.0,0.0,-100.0,100.0
E537.pi.dxF.38,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,2.0,2.1213203435596424,0.001213203435596426,False,0.00241,0.00243,6.5,0.15000000000000002,2.060660171779821,0.0,0.0,-100.0,100.0
E537.pi.dxF.39,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,2.1213203435596424,2.23606797749979,0.0011474763394014702,False,0.00361,0.00261,6.5,0.15000000000000002,2.178694160529716,0.0,0.0,-100.0,100.0
E537.pi.dxF.40,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,2.23606797749979,2.345207879911715,0.0010913990241192524,False,0.00218,0.00222,6.5,0.15000000000000002,2.2906379287057526,0.0,0.0,-100.0,100.0
E537.pi.dxF.41,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,2.345207879911715,2.449489742783178,0.001042818628714632,False,0.00665,0.00503,6.5,0.15000000000000002,2.397348811347446,0.0,0.0,-100.0,100.0
E537.pi.dxF.42,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,2.449489742783178,2.5495097567963922,0.0010002001401321437,False,0.00179,0.00185,6.5,0.15000000000000002,2.499499749789785,0.0,0.0,-100.0,100.0
E537.pi.dxF.43,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,2.5495097567963922,2.6457513110645907,0.0009624155426819812,False,0.0,0.00254,6.5,0.15000000000000002,2.5976305339304915,0.0,0.0,-100.0,100.0
E537.pi.dxF.44,2,2,184074,1,235.4,4.0,9.0,0.1,0.2,2.6457513110645907,2.7386127875258306,0.0009286147646124004,False,0.0,0.00225,6.5,0.15000000000000002,2.6921820492952104,0.0,0.0,-100.0,100.0
E537.pi.dxF.45,2,2,184074,1,235.4,4.0,9.0,0.2,0.3,0.0,0.7071067811865476,0.007071067811865475,False,0.12,0.0156,6.5,0.25,0.3535533905932738,0.0,0.0,-100.0,100.0
E537.pi.dxF.46,2,2,184074,1,235.4,4.0,9.0,0.2,0.3,0.7071067811865476,1.0,0.002928932188134525,False,0.0776,0.0127,6.5,0.25,0.8535533905932737,0.0,0.0,-100.0,100.0
E537.pi.dxF.47,2,2,184074,1,235.4,4.0,9.0,0.2,0.3,1.0,1.224744871391589,0.0022474487139158904,False,0.0474,0.0102,6.5,0.25,1.1123724356957945,0.0,0.0,-100.0,100.0
